"id_formulaColor","id_formula","id_color","quantite","id_unit","state","encrypted"
11517,15947,223275,"8.7",2,"I",0
11518,15947,6894,"19.06",2,"I",0
11519,15947,6928,"108.96",2,"I",0
11520,15947,6923,"239.06",2,"I",0
11521,15947,6916,"578.82",2,"I",0
11522,15955,223275,"8.7",2,"I",0
11523,15955,6894,"19.06",2,"I",0
11524,15955,6928,"108.96",2,"I",0
11525,15955,6923,"239.06",2,"I",0
11526,15949,6894,"3.76",2,"I",0
11527,15949,6928,"65.38",2,"I",0
11528,15949,6920,"374.29",2,"I",0
11529,15949,6897,"487.38",2,"I",0
11530,15957,6894,"3.76",2,"I",0
11531,15957,6928,"65.38",2,"I",0
11532,15957,6920,"374.29",2,"I",0
11533,15951,6895,"129.02",2,"I",0
11534,15951,6924,"293.51",2,"I",0
11535,15951,6897,"506.37",2,"I",0
11536,15957,6897,"487.38",2,"I",0
11537,15959,6895,"129.02",2,"I",0
11538,15959,6924,"293.51",2,"I",0
11539,15959,6897,"506.37",2,"I",0
11662,15993,6894,"23.63",2,"I",0
11663,15993,6898,"51.57",2,"I",0
11664,15993,6910,"282.56",2,"I",0
54074,66027,10,"88",2,"I",0
54075,66027,115,"116.8",2,"I",0
54076,66027,293,"265.7",2,"I",0
54077,66027,92,"458.4",2,"I",0
54078,66019,10,"88",2,"I",0
54079,66019,115,"116.8",2,"I",0
54080,66019,293,"265.7",2,"I",0
54081,66019,92,"458.4",2,"I",0
96939,94894,10,"120.2",2,"I",0
96940,94894,342,"20.5",2,"I",0
96941,94894,23,"20.5",2,"I",0
96942,94894,459,"54.6",2,"I",0
96943,94894,1524,"73.8",2,"I",0
96944,94894,2275,"77.9",2,"I",0
96945,94894,6899,"82",2,"I",0
96946,94894,455,"102.4",2,"I",0
96947,94894,116,"136.6",2,"I",0
96948,94894,340,"204.9",2,"I",0
96949,94803,6922,"15.1",2,"I",0
96950,94803,6920,"39.1",2,"I",0
96951,94803,6923,"142.7",2,"I",0
96952,94803,6895,"157.8",2,"I",0
96953,94803,6928,"272.6",2,"I",0
96954,94803,6916,"320.7",2,"I",0
96955,94893,10,"120.2",2,"I",0
96956,94893,342,"20.5",2,"I",0
96957,94893,23,"20.5",2,"I",0
96958,94893,459,"54.6",2,"I",0
96959,94893,1524,"73.8",2,"I",0
96960,94893,2275,"77.9",2,"I",0
96961,94893,6899,"82",2,"I",0
96962,94893,455,"102.4",2,"I",0
96963,94893,116,"136.6",2,"I",0
96964,94893,340,"204.9",2,"I",0
96965,94863,10,"88.7",2,"I",0
96966,94863,115,"4.9",2,"I",0
96967,94863,116,"6.9",2,"I",0
96968,94863,13,"69",2,"I",0
96969,94863,906,"79.8",2,"I",0
96970,94863,23,"97.5",2,"I",0
96971,94863,880,"121.2",2,"I",0
96972,94863,1385,"147.8",2,"I",0
96973,94863,386,"335.9",2,"I",0
97090,94916,6894,"35.5",2,"I",0
97091,94916,6897,"87.8",2,"I",0
97092,94916,6914,"176.6",2,"I",0
97093,94916,6922,"211.5",2,"I",0
236220,142014,10,"96.8416963145171",2,"I",0
236221,142014,24,"8.82201788372412",2,"I",0
236222,142014,115,"14.7367798739482",2,"I",0
236223,142014,25,"13.4636022930017",2,"I",0
236224,142014,6899,"36.7918245832586",2,"I",0
236225,142014,293,"85.4131731469654",2,"I",0
236226,142014,459,"100.149953020914",2,"I",0
236227,142014,455,"110.475723953",2,"I",0
236228,142014,1385,"153.583311339379",2,"I",0
236229,142014,451,"297.241852559568",2,"I",0
236342,142022,10,"88.5641081505044",2,"I",0
236343,142022,15,"12.8857709318286",2,"I",0
236344,142022,2275,"20.6581407002331",2,"I",0
236345,142022,336,"45.304734307937",2,"I",0
236346,142022,386,"57.7814331466916",2,"I",0
236347,142022,6899,"72.7125645438898",2,"I",0
236348,142022,338,"101.449879082333",2,"I",0
236349,142022,28,"128.448637225212",2,"I",0
236350,142022,25,"120.655813852154",2,"I",0
236351,142022,340,"198.706769210658",2,"I",0
236352,142022,117,"91.6321488485588",2,"I",0
236444,142036,10,"89.7300714770998",2,"I",0
236445,142036,342,"2.71592765821257",2,"I",0
236446,142036,305,"4.07389148731885",2,"I",0
236447,142036,465,"35.2026008006783",2,"I",0
236448,142036,369,"85.3428037215257",2,"I",0
236449,142036,451,"95.5797618178654",2,"I",0
236450,142036,338,"112.606539059736",2,"I",0
236451,142036,28,"140.601485690543",2,"I",0
236452,142036,25,"235.026978253668",2,"I",0
236837,142093,10,"84.7159400100128",2,"I",0
236838,142093,880,"9.73979669576196",2,"I",0
236839,142093,341,"24.248035523824",2,"I",0
236840,142093,909,"28.407740362639",2,"I",0
236841,142093,369,"72.135369277987",2,"I",0
236842,142093,340,"86.3392394593065",2,"I",0
236843,142093,25,"76.9241026534033",2,"I",0
236844,142093,1167,"193.984284190592",2,"I",0
236845,142093,338,"291.077882501469",2,"I",0
236846,142094,10,"79.6029440757048",2,"I",0
236847,142094,341,"24.6341591640928",2,"I",0
236848,142094,336,"32.777682854702",2,"I",0
236849,142094,115,"57.1064598803969",2,"I",0
236850,142094,369,"61.3818098179667",2,"I",0
236851,142094,340,"93.548728395873",2,"I",0
236852,142094,25,"94.4852336202931",2,"I",0
