"id_formula","id_formulaX","id_formulaY","formulaImgPath","otherPrice","id_otherCurreny","id_otherUnit","type","id_car","version","name_formula","c_year","variant","duplicate","colorCode","colorRGB","clientName","cardNumber","seqnum","state","id_formulaZ","id_formulaZp","id_formulaZ2p","id_formulaXp","id_formulaX2p","id_formulaYp","id_formulaY2p","isEquation15perc4201","converted","Date_cre_mod","noEquation4201_180","colorRGBPerc","code_formulaX","code_formulaXp","code_formulaXpp","code_formulaY","code_formulaYp","code_formulaYpp","code_formulaZ","code_formulaZp","code_formulaZpp"
16045,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",50,"S1","ROUGE ITALIEN (Couche)","1978 - 1978","","0","003","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16047,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",50,"S1","BEIGE TAXI","1974 - 1991","","0","010","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16048,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",50,"S1","MARRON ALLEMAGNE RAL","1985 - 1985","","0","013","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16049,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",50,"S1","JAUNE PTT","1965 - 2017","","0","030","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16050,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",50,"S1","ORANGE (Couche)","1995 - 2017","","0","031","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16051,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",50,"S2","ORANGE (Couche)","1995 - 2017","D","0","031","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16054,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",50,"S1","ORANGE PONTS ET CHAUSSEES (Couche)","1965 - 2008","","0","031","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16055,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",50,"S2","ORANGE PONTS ET CHAUSSEES (Couche)","1965 - 2008","R","0","031","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16058,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",50,"S1","JAUNE HERTZ","2004 - 2013","","0","032","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16059,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",50,"S1","ORANGE HILTI  (Couche)","1988 - 2010","","0","034","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16060,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",50,"S2","ORANGE HILTI  (Couche)","1988 - 2010","DRT","0","034","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16063,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",50,"S1","JAUNE TOURING SECOURS (Couche)","1985 - 2003","","0","035","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16066,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",50,"S1","JAUNE GIESE (Couche)","1996 - 2016","","0","037","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16069,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",50,"S1","BLEU GENDARMERIE","1969 - 1974","","0","041","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16072,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",50,"S1","BLEU PTT IRLANDE","1991 - 1991","","0","043","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16073,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",50,"S1","BLEU","1983 - 2015","","0","047","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16074,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",50,"S1","BLEU PTT","1986 - 1986","","0","049","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16075,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",50,"S1","ROUGE POMPIERS","1974 - 2017","","0","071","0","","",1,"U",,,,,,,,,"1",,0,"",,,,,,,,,
16076,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",50,"S1","ROUGE VIF (Couche)","1985 - 1995","","0","075","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16078,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",50,"S1","VERT","1983 - 2004","","0","098","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16079,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",50,"S1","GREGE","1985 - 1986","","0","101","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16080,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",50,"S1","IVOIRE BAMAKO","1986 - 1987","","0","103","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16081,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",50,"S1","BRUN SMYRNE","1992 - 1994","","0","105","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16082,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",50,"S2","BRUN SMYRNE","1992 - 1994","D","0","105","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16084,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",50,"S1","GRIS ALPAGA","1988 - 1991","","0","109","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16085,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",50,"S2","GRIS ALPAGA","1988 - 1991","L+Y","0","109","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16086,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",50,"S3","GRIS ALPAGA","1988 - 1991","Y","0","109","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16087,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",50,"S4","GRIS ALPAGA","1988 - 1991","Y+D","0","109","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
