"id_formulaColor","id_formula","id_color","quantite","id_unit","state","encrypted"
13843,16662,6903,"34.6",2,"I",0
13844,16662,6912,"2.83",2,"I",0
13845,16662,6905,"53.1",2,"I",0
13846,16662,6898,"7.63",2,"I",0
13847,16662,6894,"958.44",2,"I",0
13859,16667,223275,"5.33",2,"I",0
13860,16667,6912,"1.37",2,"I",0
13861,16667,6903,"26.96",2,"I",0
13862,16667,6894,"1074.84",2,"I",0
56677,67597,10,"76.4",2,"I",0
56678,67597,386,"9.8",2,"I",0
56679,67597,24,"27.4",2,"I",0
56680,67597,880,"28.9",2,"I",0
56681,67597,451,"34.7",2,"I",0
56682,67597,115,"159.5",2,"I",0
56683,67597,28,"266.6",2,"I",0
56684,67597,338,"285.1",2,"I",0
56685,67597,117,"42.1",2,"I",0
56817,67671,10,"76.5",2,"I",0
56818,67671,305,"6.4",2,"I",0
56819,67671,92,"22",2,"I",0
56820,67671,492,"23.1",2,"I",0
56821,67671,337,"73.4",2,"I",0
56822,67671,341,"152.5",2,"I",0
56823,67671,340,"128.1",2,"I",0
56824,67671,24,"201.4",2,"I",0
56825,67671,342,"249.8",2,"I",0
56896,67708,10,"69.8",2,"I",0
56897,67708,62,"0.90000000000001",2,"I",0
56898,67708,13,"3.9",2,"I",0
56899,67708,24,"33.3",2,"I",0
56900,67708,15,"1015",2,"I",0
56905,67711,10,"93.5",2,"I",0
56906,67711,13,"27.3",2,"I",0
56907,67711,32,"37.2",2,"I",0
56908,67711,14,"41.9",2,"I",0
56909,67711,41,"100.4",2,"I",0
56910,67711,15,"756.3",2,"I",0
57064,67787,10,"76.5",2,"I",0
57065,67787,1163,"4.9",2,"I",0
57066,67787,880,"22.4",2,"I",0
57067,67787,15,"49.3",2,"I",0
57068,67787,11,"50.7",2,"I",0
57069,67787,28,"234",2,"I",0
57070,67787,338,"477.4",2,"I",0
57071,67787,117,"18.2",2,"I",0
57282,67896,10,"87.7",2,"I",0
57283,67896,62,"3",2,"I",0
57284,67896,24,"12",2,"I",0
57285,67896,115,"60.9",2,"I",0
57286,67896,338,"733.8",2,"I",0
57294,67898,10,"87.7",2,"I",0
57295,67898,880,"1",2,"I",0
57296,67898,27,"4.1",2,"I",0
57297,67898,338,"274.7",2,"I",0
57298,67898,28,"552.6",2,"I",0
120428,102495,6903,"11.4",2,"I",0
120429,102495,6898,"22.8",2,"I",0
172325,132220,10,"88.6064215456034",2,"I",0
172326,132220,25,"86.9488529045615",2,"I",0
172327,132220,15,"936.044725549835",2,"I",0
172358,132232,10,"87.4762874599942",2,"I",0
172359,132232,25,"5.61489671224906",2,"I",0
172360,132232,15,"1042.10881582776",2,"I",0
256774,147209,10,"75.2337267432871",2,"I",0
256775,147209,92,"9.7485955780034",2,"I",0
256795,147209,1167,"52.2397567386487",2,"I",0
256796,147209,780,"61.4585373395867",2,"I",0
256797,147209,369,"84.346544348812",2,"I",0
256798,147209,6931,"86.1479152708344",2,"I",0
256799,147209,24,"243.397000463846",2,"I",0
256800,147209,25,"312.627923516982",2,"I",0
256923,147225,10,"79.1404496253122",2,"I",0
256924,147225,28,"29.8837635303913",2,"I",0
256925,147225,1163,"117.268009991674",2,"I",0
256926,147225,413,"120.87467110741",2,"I",0
256927,147225,25,"160.290324729392",2,"I",0
256928,147225,24,"203.41568692756",2,"I",0
256929,147225,369,"217.32709408826",2,"I",0
268629,149275,10,"71.7",2,"I",0
268630,149275,387,"27.4",2,"I",0
268631,149275,1163,"101.8",2,"I",0
268632,149275,338,"113.9",2,"I",0
268633,149275,880,"115.4",2,"I",0
268634,149275,25,"201.2",2,"I",0
274145,132005,10,"72",2,"I",0
274146,132005,1167,"27.4",2,"I",0
274147,132005,25,"41.1",2,"I",0
274148,132005,27,"41.1",2,"I",0
274149,132005,338,"54.8",2,"I",0
274150,132005,115,"87.6",2,"I",0
274151,132005,6931,"95.8",2,"I",0
274152,132005,1163,"95.8",2,"I",0
274153,132005,386,"98.6",2,"I",0
274154,132005,24,"260.1",2,"I",0
274155,132005,117,"52.8",2,"I",0
274166,132006,10,"80.7",2,"I",0
274167,132006,305,"9.2",2,"I",0
274168,132006,1167,"40",2,"I",0
274169,132006,25,"55.4",2,"I",0
274170,132006,338,"65.3",2,"I",0
274171,132006,27,"67.7",2,"I",0
274172,132006,115,"77",2,"I",0
274173,132006,6931,"104.7",2,"I",0
274174,132006,1163,"160.1",2,"I",0
274175,132006,24,"221.7",2,"I",0
274225,132025,10,"87.2",2,"I",0
274226,132025,28,"33.3",2,"I",0
274227,132025,6931,"49.9",2,"I",0
274228,132025,338,"104.1",2,"I",0
274229,132025,24,"106.5",2,"I",0
274230,132025,25,"181.3",2,"I",0
274231,132026,10,"88.4",2,"I",0
274232,132026,369,"13.4",2,"I",0
274233,132026,28,"16.7",2,"I",0
274234,132026,11,"33.5",2,"I",0
274235,132026,338,"67",2,"I",0
274236,132026,25,"154.1",2,"I",0
274237,132026,24,"154.1",2,"I",0
274238,132026,386,"399",2,"I",0
274239,132098,10,"84.8",2,"I",0
274240,132098,1165,"14.6",2,"I",0
274241,132098,6931,"32.4",2,"I",0
274242,132098,92,"39.8",2,"I",0
274243,132098,115,"40.5",2,"I",0
274244,132098,338,"64.8",2,"I",0
274245,132098,1167,"97.1",2,"I",0
274246,132098,369,"116.2",2,"I",0
274247,132098,413,"119.5",2,"I",0
274248,132098,25,"259",2,"I",0
274249,132099,10,"76.3",2,"I",0
274250,132099,387,"23.9",2,"I",0
274251,132099,115,"30.9",2,"I",0
274252,132099,1167,"67",2,"I",0
274253,132099,338,"72.8",2,"I",0
274254,132099,24,"112.7",2,"I",0
274255,132099,369,"132.9",2,"I",0
274256,132099,413,"136.9",2,"I",0
274257,132099,25,"231.6",2,"I",0
274258,132099,117,"44.9",2,"I",0
274259,132106,10,"81.6",2,"I",0
274260,132106,25,"9.3",2,"I",0
274261,132106,24,"9.9",2,"I",0
274262,132106,880,"10.5",2,"I",0
274263,132106,116,"14",2,"I",0
274264,132106,455,"40.3",2,"I",0
274265,132106,465,"62",2,"I",0
274266,132106,2335,"124.1",2,"I",0
274267,132106,340,"212.2",2,"I",0
274272,132107,10,"80.5",2,"I",0
274273,132107,24,"2.5",2,"I",0
274274,132107,25,"6.1",2,"I",0
274275,132107,115,"20.6",2,"I",0
274276,132107,342,"30.7",2,"I",0
274277,132107,465,"71.3",2,"I",0
274278,132107,2335,"93.7",2,"I",0
274279,132107,340,"280.5",2,"I",0
274280,132107,293,"313.1",2,"I",0
274316,132147,10,"100.4",2,"I",0
274317,132147,341,"15.5",2,"I",0
274318,132147,459,"15.5",2,"I",0
274319,132147,23,"26",2,"I",0
274320,132147,2335,"31",2,"I",0
274321,132147,2275,"77.6",2,"I",0
274322,132147,455,"85.3",2,"I",0
274323,132147,115,"116.3",2,"I",0
274324,132147,25,"193.9",2,"I",0
274325,132148,10,"92.2",2,"I",0
274326,132148,880,"11.9",2,"I",0
274327,132148,455,"18.1",2,"I",0
274328,132148,342,"68.3",2,"I",0
274329,132148,115,"100.4",2,"I",0
274330,132148,2275,"129.8",2,"I",0
274331,132148,25,"153.7",2,"I",0
274332,132148,340,"337.4",2,"I",0
274333,132148,117,"30",2,"I",0
274344,132150,10,"79.4",2,"I",0
274345,132150,2275,"3.6",2,"I",0
274346,132150,455,"30.3",2,"I",0
274347,132150,1167,"63.7",2,"I",0
274348,132150,465,"77.3",2,"I",0
274349,132150,880,"84.6",2,"I",0
274350,132150,338,"205.2",2,"I",0
274351,132150,25,"330.4",2,"I",0
274352,132150,117,"60.9",2,"I",0
274363,132154,10,"78",2,"I",0
274364,132154,62,"4.1",2,"I",0
274365,132154,455,"14.5",2,"I",0
274366,132154,15,"26.3",2,"I",0
274367,132154,25,"26.6",2,"I",0
274368,132154,27,"67.1",2,"I",0
274369,132154,1167,"177.3",2,"I",0
274370,132154,338,"443.3",2,"I",0
274371,132154,117,"96.9",2,"I",0
