"id_formula","id_formulaX","id_formulaY","formulaImgPath","otherPrice","id_otherCurreny","id_otherUnit","type","id_car","version","name_formula","c_year","variant","duplicate","colorCode","colorRGB","clientName","cardNumber","seqnum","state","id_formulaZ","id_formulaZp","id_formulaZ2p","id_formulaXp","id_formulaX2p","id_formulaYp","id_formulaY2p","isEquation15perc4201","converted","Date_cre_mod","noEquation4201_180","colorRGBPerc","code_formulaX","code_formulaXp","code_formulaXpp","code_formulaY","code_formulaYp","code_formulaYpp","code_formulaZ","code_formulaZp","code_formulaZpp"
16776,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",51,"S1","WHITE DIAMOND 2","2004 - 2009","","0","20245","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16777,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",51,"S1","MIDNIGHT BLUE","1949 - 1974","","0","9500191","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16778,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",51,"S1","STEEL BLUE","1991 - 1991","","0","9500436","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16780,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",51,"S1","PORCELAIN WHITE","1965 - 1982","","0","9500439","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16781,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",51,"S1","BLUE GREY","1984 - 1985","","0","9500442","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16782,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",51,"S1","BREWSTER GREEN","1984 - 1989","","0","9500560","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16783,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",51,"S1","GARNET","1965 - 1988","","0","9500606","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16784,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",51,"S1","VELVET GREEN","1965 - 1974","","0","9500687","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16785,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",51,"S1","BLACK","1962 - 1992","","0","9500701","0","","",1,"U",,,,,,,,,"1",,,,,,,,,,,,
16786,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",51,"S1","SMOKE GREEN","1965 - 1974","","0","9500816","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16787,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",51,"S1","MIDNIGHT BLUE","1960 - 1975","","0","9510004","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16788,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",51,"S1","BREWSTER GREEN","1970 - 1990","","0","9510056","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16789,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",51,"S1","BAYARD CRIMSON","1986 -","","0","9510092","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16790,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",51,"S1","SAND","1976 - 1976","","0","9510201","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16791,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",51,"S1","DEEP INDIGO","1978","","0","9510221","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16792,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",51,"S1","IVORY","1973 - 1990","","0","9510228","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16793,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",51,"S1","ACRYLIC WHITE","1973 - 1992","","0","9510235","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16794,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",51,"S2","ACRYLIC WHITE","1973 - 1992","L+Y","0","9510235","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16795,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",51,"S1","CHAMPAGNE","1980 - 1992","","0","9510374","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16796,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",51,"S1","OXFORD BLUE","1976 - 1980","","0","9510392","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16797,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",51,"S1","BREWSTER GREEN","1970 - 1978","","0","9510393","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16798,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",51,"S1","GARNET","1965 - 1988","","0","9510394","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16799,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",51,"S1","VELVET GREEN","1970 - 1970","","0","9510402","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16800,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",51,"S1","CLARET","1980 - 1992","","0","9510408","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16801,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",51,"S2","CLARET","1980 - 1992","L+R","0","9510408","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16802,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",51,"S1","EXETER BLUE","1980 - 1982","","0","9510409","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16803,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",51,"S1","MAGNOLIA BEIGE","1980 - 1992","","0","9510418","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16804,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",51,"S1","BAMFORD CLARET","1992 - 1994","","0","9510428","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16805,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",51,"S1","TUDOR RED","1989 - 1992","","0","9510453","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16806,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",51,"S1","BRITISH RACING GREEN 5","1980 - 1981","","0","9510466","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16807,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",51,"S1","VAN DYKE BROWN","1984 - 1992","","0","9510468","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16808,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",51,"S1","DOVE GREY","1985 - 1992","","0","9510474","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16809,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",51,"S1","NEW VERMILION","1986 - 1992","","0","9510480","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16811,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",51,"S1","WEDGWOOD BLUE","1986 - 1992","","0","9510483","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16812,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",51,"S1","BOLERO RED","1991 - 1991","","0","9510493","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16813,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",51,"S1","BORDEAUX","1989 - 1990","","0","9510504","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16814,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",51,"S1","WHITE","1990 - 1997","","0","9520090","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16815,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",51,"S1","BLACK","1992 - 1994","","0","9520091","0","","",1,"U",,,,,,,,,"1",,,,,,,,,,,,
16816,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",51,"S1","MAGNOLIA","1993 - 1997","","0","9520093","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16817,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",51,"S1","IVORY","1992 - 1995","","0","9520103","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16818,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",51,"S1","VERMILION","1992 - 1995","","0","9520105","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16819,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",51,"S2","VERMILION","1992 - 1995","D+Y","0","9520105","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16820,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",51,"S1","DOVE GREY","1992 - 1995","","0","9520106","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16821,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",51,"S1","BORDEAUX","1992 - 1994","","0","9520107","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16822,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",51,"S1","GARNET","1992 - 1994","","0","9520108","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16823,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",51,"S1","BREWSTER GREEN","1992 - 1994","","0","9520109","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16824,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",51,"S1","TUDOR RED (Couche)","1989 - 1995","","0","9520110","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16825,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",51,"S2","TUDOR RED (Couche)","1989 - 1995","R","0","9520110","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16828,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",51,"S1","CHROME YELLOW","1992 - 1995","","0","9520113","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16829,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",51,"S1","WEDGEWOOD BLUE","1992 - 1994","","0","9520114","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16830,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",51,"S1","PRIMROSE","1992 - 1992","","0","9520116","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16831,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",51,"S1","BRITISH RACING GREEN","1991 - 1994","","0","9520119","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
