"id_formula","id_formulaX","id_formulaY","formulaImgPath","otherPrice","id_otherCurreny","id_otherUnit","type","id_car","version","name_formula","c_year","variant","duplicate","colorCode","colorRGB","clientName","cardNumber","seqnum","state","id_formulaZ","id_formulaZp","id_formulaZ2p","id_formulaXp","id_formulaX2p","id_formulaYp","id_formulaY2p","isEquation15perc4201","converted","Date_cre_mod","noEquation4201_180","colorRGBPerc","code_formulaX","code_formulaXp","code_formulaXpp","code_formulaY","code_formulaYp","code_formulaYpp","code_formulaZ","code_formulaZp","code_formulaZpp"
16913,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S1","JONQUIL (Couche)","1963 - 1965","","0","14","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16915,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S1","CACTUS GREEN","1963 - 1969","","0","15","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16916,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S1","DAMSON RED","1968 - 1973","","0","17","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16917,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S1","WHITE","1963 - 1969","","0","19","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16918,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S1","CONIFER GREEN","1963 - 1969","","0","25","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16919,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S1","SIGNAL RED","1954 - 1972","","0","32","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16920,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S1","JASMINE YELLOW","1967 - 1973","","0","34","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16921,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S1","ROYAL BLUE","1964 - 1971","","0","56","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16922,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S1","SAND GLOW","1976 - 1979","","0","063 - BLVCAAJ","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16923,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S1","EMERALD GREEN","1972 - 1975","","0","65","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16924,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S1","VALENCIA BLUE","1967 - 1972","","0","66","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16925,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S1","PIMIENTO","1971 - 1982","","0","72","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16926,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S1","SAPPHIRE BLUE","1971 - 1975","","0","96","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16927,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S1","BLACK MAT (+ Lacquer)","1998 - 2001","","0","10002","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16928,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S1","BLACK MAT (+ Lacquer)","1998 - 2001","","0","10004","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16929,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S1","PALE PRIMROSE","1966 - 1970","","0","120","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16930,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S1","FLAME RED MAT (+ Lacquer)","1996 - 1999","","0","1301 - LRC1301-CPY","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16931,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S1","POWDER BLUE","1958 - 1963","","0","20","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16932,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S1","HONEYSUCKLE","1972 - 1975","","0","39","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16934,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S1","CORALLIN RED","1988 - 1995","","0","390 - LRC390-CUF","0","","Range Rover 1* 390",0,"0",,,,,,,,,"0",,,,,,,,,,,,
16936,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S2","CORALLIN RED (Couche)","1988 - 1995","L+R","0","390 - LRC390-CUF","0","","Range Rover 1* 390",0,"0",,,,,,,,,"0",,,,,,,,,,,,
16938,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S3","CORALLIN RED (Couche)","1988 - 1995","D+R","0","390 - LRC390-CUF","0","","Range Rover 1* 390",0,"0",,,,,,,,,"0",,,,,,,,,,,,
16942,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S1","PORTOFINO RED","1988 - 1997","","0","390 - LRC390-CUF","0","","Range Rover 1* 390",0,"0",,,,,,,,,"0",,,,,,,,,,,,
16944,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S2","PORTOFINO RED (Couche)","1988 - 1997","L+R","0","390 - LRC390-CUF","0","","Range Rover 1* 390",0,"0",,,,,,,,,"0",,,,,,,,,,,,
16946,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S3","PORTOFINO RED (Couche)","1988 - 1997","D+R","0","390 - LRC390-CUF","0","","Range Rover 1* 390",0,"0",,,,,,,,,"0",,,,,,,,,,,,
16950,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S1","BELUGA BLACK","1988 - 1999","","0","416 - LRC416-PUE","0","","Range Rover 1* 416",0,"0",,,,,,,,,"0",,,,,,,,,,,,
16952,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S2","BELUGA BLACK","1988 - 1999","D+B","0","416 - LRC416-PUE","0","","Range Rover 1* 416",0,"0",,,,,,,,,"0",,,,,,,,,,,,
16954,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S3","BELUGA BLACK","1988 - 1999","D","0","416 - LRC416-PUE","0","","Range Rover 1* 416",0,"0",,,,,,,,,"0",,,,,,,,,,,,
16956,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S4","BELUGA BLACK","1988 - 1999","D+Y","0","416 - LRC416-PUE","0","","Range Rover 1* 416",0,"0",,,,,,,,,"0",,,,,,,,,,,,
16957,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S1","WINDJAMMER BLUE","1990 - 1997","","0","424 - LRC424-JUH","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16958,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S1","ALPINE WHITE","1991 - 1997","","0","456 - LRC456-NUC","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16959,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S2","ALPINE WHITE","1991 - 1997","R","0","456 - LRC456-NUC","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16960,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S1","SAVARIN WHITE","1991 - 1997","","0","456 - LRC456-NUC","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16961,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S2","SAVARIN WHITE","1991 - 1997","R","0","456 - LRC456-NUC","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16963,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S1","CALEDONIAN BLUE","1997 - 2002","","0","507 - LRC507-JUT","0","","Range Rover 1* 507",0,"0",,,,,,,,,"0",,,,,,,,,,,,
16964,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S1","OLD ENGLISH WHITE","1954","","0","54A11","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16965,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S1","BRITISH RACING GREEN","1954 - 1962","","0","601","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16969,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S1","CONISTON GREEN","1998 - 2002","","0","637 - LRC637-HYJ","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16970,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S1","MIMOSA","1972 - 1973","","0","64","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16971,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S1","OLD ENGLISH WHITE","1993 - 2001","","0","650 - LRC650-NNX","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16972,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S1","CARMINE RED","1972 - 1981","","0","82 - BLVC209","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16973,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S1","SAND GLOW","1976 - 1979","","0","AAJ - BLVC63","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16974,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S1","SANDGLOW","1976 - 1981","","0","AME - BLVC63","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16975,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S1","CLOVE","1981 - 1986","","0","AMS - BLVC398","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16976,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S2","CLOVE","1981 - 1986","L+Y","0","AMS - BLVC398","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16977,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S1","ALAMO BEIGE","1959 - 1963","","0","BG9","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16978,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S1","MINERAL BLUE","1956 - 1969","","0","BU9","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16979,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S1","IRIS BLUE","1958 - 1967","","0","BU12","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16980,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S1","SMOKE GREY","1959 - 1971","","0","BU15","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16981,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S1","ICE BLUE","1961 - 1976","","0","BU18","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16982,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S1","BLUE ROYAL","1961 - 1972","","0","BU38","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16983,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S1","RIVIERA BLUE","1961 - 1968","","0","BU44","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16984,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S1","COSMOS BLUE","1967 - 1969","","0","BU49","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16985,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S1","FLORENTINE BLUE","1957 - 1969","","0","BU7","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16986,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S1","CARMINE RED","1973 - 1981","","0","CAA - BLVC209","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16987,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S1","PIMENTO RED","1972 - 1976","","0","CAB - BLVC204","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16988,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S1","RED MAT","1995 - 2002","","0","CAI - LRC612","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16989,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S1","COPPER LEAF SURFACER","2002 - 2003","","0","CBH","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16990,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S1","MONZA RED","1970 - 1975","","0","CCB - BLVC287","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16991,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S1","RICHELIEU","1974 - 1974","","0","CCE - BLVC211","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16992,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S1","MONZA RED","1998 - 1999","","0","CCZ - BLVC1253","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16993,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S1","DAMSON RED","1999 - 2000","","0","CEB - BLVC1264","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16994,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S1","SOLAR RED SURFACER","2002 - 2003","","0","CEU","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16995,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S1","FLAME RED","1963 - 1973","","0","CMB - BLVC061","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16996,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S1","SUNSET RED","1989 - 1995","","0","CMC - BLVC1038","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16997,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S1","CINNABAR","1982 - 1986","","0","CMT - BLVC399","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16998,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S2","CINNABAR","1982 - 1986","L","0","CMT - BLVC399","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16999,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S1","SOLAR RED","1999 - 2002","","0","CMU - BLVC1278","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
17000,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S1","MONZA","1982 - 1986","","0","CMV - BLVC457","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
17001,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S2","MONZA","1982 - 1986","L+Y","0","CMV - BLVC457","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
17002,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S2","TARGA RED","1984 - 1988","DRT","0","CNE - BLVC641","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
17003,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S3","TARGA RED","1984 - 1988","D+Y","0","CNE - BLVC641","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
17004,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S1","TARGA RED (Couche)","1984 - 1988","","0","CNE - BLVC641","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
17006,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S1","TARGA RED","1988 - 1989","","0","CNG - BLVC643","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
17007,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S1","MINI RED HOT","1988 - 1994","","0","CNL - BLVC1073","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
17008,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S1","BURGUNDY","1986 - 1989","","0","CNS - BLVC679","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
17009,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S2","BURGUNDY","1986 - 1989","D+Y","0","CNS - BLVC679","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
17010,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S1","FLAME RED","1988 - 1999","","0","COF - BLVC818","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
17011,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S2","FLAME RED","1988 - 1999","D","0","COF - BLVC818","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
17012,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S3","FLAME RED","1988 - 1999","D+R","0","COF - BLVC818","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
17013,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S1","CRANBERRY RED (Couche)","1990 - 1994","","0","COS - BLVC898","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
17015,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S1","NEW CRANBERRY (Couche)","1992 - 1992","","0","COX - BLVC940","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
17017,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S1","BURGUNDY","1988 - 1988","","0","CPA - BLVC683","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
17018,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S1","FLAME RED","1992 - 2002","","0","CPQ - BLVC1000","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
17019,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S1","BRIGHT RED SEALER MAT (+ Lacquer)","1996 - 1999","","0","CPY - LRC1301","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
17020,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S1","RIO RED (Couche)","2004 - 2005","","0","CQC","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
17023,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S1","CORALLIN RED","1988 - 1995","","0","CUF - LRC390","0","","Range Rover 1* 390",0,"0",,,,,,,,,"0",,,,,,,,,,,,
17025,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S2","CORALLIN RED (Couche)","1988 - 1995","L+R","0","CUF - LRC390","0","","Range Rover 1* 390",0,"0",,,,,,,,,"0",,,,,,,,,,,,
17027,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S3","CORALLIN RED (Couche)","1988 - 1995","D+R","0","CUF - LRC390","0","","Range Rover 1* 390",0,"0",,,,,,,,,"0",,,,,,,,,,,,
17031,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S1","PORTOFINO RED","1988 - 1997","","0","CUF - LRC390","0","","Range Rover 1* 390",0,"0",,,,,,,,,"0",,,,,,,,,,,,
17033,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S2","PORTOFINO RED (Couche)","1988 - 1997","L+R","0","CUF - LRC390","0","","Range Rover 1* 390",0,"0",,,,,,,,,"0",,,,,,,,,,,,
17035,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S3","PORTOFINO RED (Couche)","1988 - 1997","D+R","0","CUF - LRC390","0","","Range Rover 1* 390",0,"0",,,,,,,,,"0",,,,,,,,,,,,
17038,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S1","ROSE PINK","1989 - 1995","","0","DME - BLVC889","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
17039,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S1","TOPAZ","1975 - 1976","","0","EAA - BLVC84","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
17040,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S1","PRIMROSE","1999 - 2000","","0","FAH - BLVC1262","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
17041,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S1","TROPHY YELLOW SURFACER","2002 - 2003","","0","FAL","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
17042,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S1","TROPHY YELLOW (Couche)","2001 - 2002","","0","FAR","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
17044,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S1","AA YELLOW (Couche)","1994 - 1994","","0","FMB - BLVC1013","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
17045,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S2","AA YELLOW (Couche)","1994 - 1994","L","0","FMB - BLVC1013","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
17048,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S1","CITRON","1973 - 1976","","0","FMD - BLVC73","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
17049,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S1","BRACKEN","1973 - 1976","","0","FME - BLVC93","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
17050,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",52,"S1","PRIMULA","1982 - 1986","","0","FMP - BLVC442","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
