"id_formulaColor","id_formula","id_color","quantite","id_unit","state","encrypted"
15112,17023,223275,"8.7",2,"I",0
15113,17023,6894,"19.06",2,"I",0
15114,17023,6928,"108.96",2,"I",0
15115,17023,6923,"239.06",2,"I",0
15116,17023,6916,"578.82",2,"I",0
15117,17031,223275,"8.7",2,"I",0
15118,17031,6894,"19.06",2,"I",0
15119,17031,6928,"108.96",2,"I",0
15120,17031,6923,"239.06",2,"I",0
15121,17031,6916,"578.82",2,"I",0
15122,17033,6894,"3.76",2,"I",0
15123,17033,6928,"65.38",2,"I",0
15124,17033,6920,"374.29",2,"I",0
15125,17025,6894,"3.76",2,"I",0
15126,17025,6928,"65.38",2,"I",0
15127,17025,6920,"374.29",2,"I",0
15128,17025,6897,"487.38",2,"I",0
15129,17027,6895,"129.02",2,"I",0
15130,17027,6924,"293.51",2,"I",0
15131,17027,6897,"506.37",2,"I",0
15132,17035,6895,"129.02",2,"I",0
15133,17035,6924,"293.51",2,"I",0
15134,17035,6897,"506.37",2,"I",0
15405,17111,6894,"23.63",2,"I",0
15406,17111,6898,"51.57",2,"I",0
15407,17111,6910,"282.56",2,"I",0
15408,17111,223475,"565.34",2,"I",0
58657,68795,10,"88",2,"I",0
58658,68795,1385,"3",2,"I",0
58659,68795,92,"34.2",2,"I",0
58660,68795,455,"57.2",2,"I",0
58661,68795,342,"354.3",2,"I",0
58662,68795,337,"392.8",2,"I",0
58663,68795,117,"22.9",2,"I",0
58667,68796,10,"87.9",2,"I",0
58668,68796,455,"48.7",2,"I",0
58669,68796,342,"361.7",2,"I",0
58670,68796,337,"438.7",2,"I",0
58674,68794,10,"87.9",2,"I",0
58675,68794,455,"14.3",2,"I",0
58676,68794,115,"60.2",2,"I",0
58677,68794,337,"350",2,"I",0
58678,68794,342,"412.6",2,"I",0
58679,68794,117,"21.9",2,"I",0
58701,68816,10,"88",2,"I",0
58702,68816,115,"116.8",2,"I",0
58703,68816,293,"265.7",2,"I",0
58704,68824,10,"88",2,"I",0
58705,68824,115,"116.8",2,"I",0
58706,68824,293,"265.7",2,"I",0
58707,68824,92,"458.4",2,"I",0
59147,69088,10,"84.3",2,"I",0
59148,69088,455,"13",2,"I",0
59149,69088,115,"93.3",2,"I",0
59150,69088,116,"141.6",2,"I",0
59151,69088,24,"264.5",2,"I",0
59152,69088,28,"323.8",2,"I",0
236230,142015,10,"96.8416963145171",2,"I",0
236231,142015,24,"8.82201788372412",2,"I",0
236232,142015,115,"14.7367798739482",2,"I",0
236233,142015,25,"13.4636022930017",2,"I",0
236234,142015,6899,"36.7918245832586",2,"I",0
236235,142015,293,"85.4131731469654",2,"I",0
236236,142015,459,"100.149953020914",2,"I",0
236237,142015,455,"110.475723953",2,"I",0
236238,142015,1385,"153.583311339379",2,"I",0
236239,142015,451,"297.241852559568",2,"I",0
236353,142023,10,"88.5641081505044",2,"I",0
236354,142023,15,"12.8857709318286",2,"I",0
236355,142023,2275,"20.6581407002331",2,"I",0
236356,142023,336,"45.304734307937",2,"I",0
236357,142023,386,"57.7814331466916",2,"I",0
236358,142023,6899,"72.7125645438898",2,"I",0
236359,142023,338,"101.449879082333",2,"I",0
236360,142023,28,"128.448637225212",2,"I",0
236361,142023,25,"120.655813852154",2,"I",0
236362,142023,340,"198.706769210658",2,"I",0
236468,142037,10,"89.7300714770998",2,"I",0
