"id_formula","id_formulaX","id_formulaY","formulaImgPath","otherPrice","id_otherCurreny","id_otherUnit","type","id_car","version","name_formula","c_year","variant","duplicate","colorCode","colorRGB","clientName","cardNumber","seqnum","state","id_formulaZ","id_formulaZp","id_formulaZ2p","id_formulaXp","id_formulaX2p","id_formulaYp","id_formulaY2p","isEquation15perc4201","converted","Date_cre_mod","noEquation4201_180","colorRGBPerc","code_formulaX","code_formulaXp","code_formulaXpp","code_formulaY","code_formulaYp","code_formulaYpp","code_formulaZ","code_formulaZp","code_formulaZpp"
17188,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",53,"S1","AZURBLA","1983 - 1990","","0","116","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
17189,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",53,"S2","AZURBLA","1983 - 1990","B","0","116","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
17190,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",53,"S1","SINOBERROED","1975 - 1987","","0","121","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
17191,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",53,"S2","SINOBERROED","1975 - 1987","D+R","0","121","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
17192,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",53,"S3","SINOBERROED","1975 - 1987","Y","0","121","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
17193,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",53,"S1","SHERRY RED","1983 - 1990","","0","127","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
17194,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",53,"S2","SHERRY RED","1983 - 1990","R","0","127","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
17195,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",53,"S1","ADMIRALBLAU","1981 - 1987","","0","131","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
17196,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",53,"S2","ADMIRALBLAU","1981 - 1987","R","0","131","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
17197,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",53,"S1","ORCHIDEVIT","1990 - 1990","","0","151","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
17198,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",53,"S1","CIRRUSVIT","1981 - 2001","","0","153","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
17199,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",53,"S2","CIRRUSVIT","1981 - 2001","R","0","153","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
17200,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",53,"S3","CIRRUSVIT","1981 - 2001","D+R","0","153","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
17201,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",53,"S1","CIRKOBLA","1986 - 1988","","0","157","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
