"id_formulaColor","id_formula","id_color","quantite","id_unit","state","encrypted"
59973,69554,10,"86.6",2,"I",0
59974,69554,32,"14.3",2,"I",0
59975,69554,24,"24.2",2,"I",0
59976,69554,1385,"218.8",2,"I",0
59977,69554,780,"239.5",2,"I",0
59978,69554,338,"316.3",2,"I",0
59979,69555,10,"70.6",2,"I",0
59980,69555,27,"2.2",2,"I",0
59981,69555,115,"45.1",2,"I",0
59982,69555,41,"80.8",2,"I",0
59983,69555,116,"645.9",2,"I",0
59984,69555,117,"77.9",2,"I",0
505519,69554,117,"44.6",2,"I",0
510545,151586,10,"72.6",2,"I",0
510546,151586,1163,"4.1",2,"I",0
510547,151586,25,"7.5",2,"I",0
510548,151586,115,"16.1",2,"I",0
510549,151586,338,"55.4",2,"I",0
510550,151586,1167,"747.9",2,"I",0
510551,151586,117,"39.1",2,"I",0
510565,151587,10,"79.4",2,"I",0
510566,151587,1163,"3",2,"I",0
510567,151587,880,"6",2,"I",0
510568,151587,24,"33",2,"I",0
510569,151587,1167,"135.5",2,"I",0
510570,151587,338,"640.6",2,"I",0
510571,151587,117,"30",2,"I",0
531534,69280,10,"86.6",2,"I",0
531535,69280,32,"14.3",2,"I",0
531536,69280,24,"24.2",2,"I",0
531537,69280,1385,"218.8",2,"I",0
531538,69280,780,"239.5",2,"I",0
531539,69280,338,"316.3",2,"I",0
531540,69280,117,"44.6",2,"I",0
531541,69281,10,"70.6",2,"I",0
531542,69281,27,"2.2",2,"I",0
531543,69281,115,"45.1",2,"I",0
531544,69281,41,"80.8",2,"I",0
531545,69281,116,"645.9",2,"I",0
531546,69281,117,"77.9",2,"I",0
557455,69451,10,"86.6",2,"I",0
557456,69451,32,"14.3",2,"I",0
557457,69451,24,"24.2",2,"I",0
557458,69451,1385,"218.8",2,"I",0
557459,69451,780,"239.5",2,"I",0
557460,69451,338,"316.3",2,"I",0
557461,69451,117,"44.6",2,"I",0
557462,69452,10,"70.6",2,"I",0
557463,69452,27,"2.2",2,"I",0
557464,69452,115,"45.1",2,"I",0
557465,69452,41,"80.8",2,"I",0
557466,69452,116,"645.9",2,"I",0
557467,69452,117,"77.9",2,"I",0
559084,151598,10,"95.5",2,"I",0
559085,151598,411,"1.9",2,"I",0
559086,151598,6938,"1.9",2,"I",0
559087,151598,413,"13.6",2,"I",0
559088,151598,1163,"31.3",2,"I",0
559089,151598,115,"36.5",2,"I",0
559090,151598,24,"91",2,"I",0
559091,151598,25,"621.1",2,"I",0
559092,151598,117,"34.5",2,"I",0
582672,151605,10,"84.3",2,"I",0
582673,151605,880,"5",2,"I",0
582674,151605,1163,"8.8",2,"I",0
582675,151605,387,"10.7",2,"I",0
582676,151605,116,"15.8",2,"I",0
582677,151605,27,"23.7",2,"I",0
582678,151605,25,"87.4",2,"I",0
582679,151605,338,"660.7",2,"I",0
582680,151605,117,"29.7",2,"I",0
691952,87780,10,"1",2,"I",0
693064,69221,10,"85.4254338908173",2,"I",0
693065,69221,1163,"2.73049332071106",2,"I",0
693066,69221,880,"10.7269380456506",2,"I",0
693067,69221,24,"22.2340170400757",2,"I",0
693068,69221,780,"106.294204270537",2,"I",0
693069,69221,338,"529.793718312822",2,"I",0
693070,69221,117,"37.4467655411802",2,"I",0
693071,69221,1167,"132.448429578206",2,"I",0
700921,133134,10,"78.8932612094668",2,"I",0
700922,133134,24,"225.442654728029",2,"I",0
700923,133134,115,"149.977974381137",2,"I",0
700924,133134,116,"193.598139281934",2,"I",0
700925,133134,25,"129.998861815463",2,"I",0
700926,133134,117,"107.569480727584",2,"I",0
700927,133134,1167,"38.7196278563868",2,"I",0
701041,133135,10,"81.773272689642",2,"I",0
701042,133135,465,"36.2404276692731",2,"I",0
701043,133135,115,"39.3998495686457",2,"I",0
701044,133135,24,"136.654289565213",2,"I",0
701045,133135,25,"78.8368688066953",2,"I",0
701046,133135,369,"131.037023276476",2,"I",0
701047,133135,116,"313.71200977299",2,"I",0
701048,133135,117,"40.0038566964669",2,"I",0
701049,133135,1167,"62.742401954598",2,"I",0
