"id_formula","id_formulaX","id_formulaY","formulaImgPath","otherPrice","id_otherCurreny","id_otherUnit","type","id_car","version","name_formula","c_year","variant","duplicate","colorCode","colorRGB","clientName","cardNumber","seqnum","state","id_formulaZ","id_formulaZp","id_formulaZ2p","id_formulaXp","id_formulaX2p","id_formulaYp","id_formulaY2p","isEquation15perc4201","converted","Date_cre_mod","noEquation4201_180","colorRGBPerc","code_formulaX","code_formulaXp","code_formulaXpp","code_formulaY","code_formulaYp","code_formulaYpp","code_formulaZ","code_formulaZp","code_formulaZpp"
235484,-1,-1,,,,,"BC",82,"S1","BEIGE MET","2008 - 2008","","","3160749","-986896",,"",0,"I",,,,,,,,0,"1","25:6:2018:12:46:39",0,"-13691136:1.47;-7981310:1.9;-4227838:4.82;-460552:11.92;-2368549:33.68;-4144960:37.78;-1907998:8.42;",,,,,,,,,
235485,-1,-1,,,,,"BC",82,"S1","BEIGE MET","2008 - 2008","","","4M09","-986896",,"",0,"I",,,,,,,,0,"1","25:6:2018:12:47:40",0,"-4227838:0.57;-13691136:1.38;-16777216:1.61;-7981310:2.54;-460552:13.17;-1907998:42.21;-2368549:38.53;",,,,,,,,,
235486,-1,-1,,,,,"BC",82,"S1","BEIGE MET","2008 - 2008","","","63018","-986896",,"",0,"I",,,,,,,,0,"1","25:6:2018:12:48:40",0,"-16777216:1.82;-460552:2.2;-13691136:3.72;-2368549:25.34;-4144960:60.59;-1907998:6.33;",,,,,,,,,
235487,-1,-1,,,,,"BC",82,"S1","BLACK","2008 - 2008","","","87B0715","-986896",,"",0,"I",,,,,,,,0,"1","25:6:2018:12:49:46",0,"-1401344:0.99;-1:2.91;-8388608:8.66;-13691136:33.16;-16777216:54.28;",,,,,,,,,
235488,-1,-1,,,,,"2K",82,"S1","BLACK","2008 - 2008","","","87B0715","-986896",,"",0,"I",,,,,,,,0,"1","25:6:2018:12:49:48",0,"",,,,,,,,,
235489,-1,-1,,,,,"LS",82,"S1","BLACK","2008 - 2008","","","87B0715","-986896",,"",0,"I",,,,,,,,0,"0","25:6:2018:12:50:52",0,"-15987700:63.68;-16769491:8.97;-16645630:27.35;",,,,,,,,,
235490,-1,-1,,,,,"BC",82,"S1","BLACK MET","2008 - 2008","","","14M01","-986896",,"",0,"I",,,,,,,,0,"1","25:6:2018:12:52:3",0,"-9830400:0.74;-7981310:0.93;-3775744:1.11;-12582912:2.9;-1315861:9.87;-16777216:53.56;-16777216:30.88;",,,,,,,,,
235491,-1,-1,,,,,"BC",82,"S1","BLACK MET","2008 - 2008","","","87B0703","-986896",,"",0,"I",,,,,,,,0,"1","25:6:2018:12:53:12",0,"-4227838:0.35;-14942153:0.44;-16767426:1.22;-2236963:1.59;-7981310:1.44;-1907998:5.09;-16777216:12.96;-16777216:76.92;",,,,,,,,,
235492,-1,-1,,,,,"BC",82,"S1","BLEU MET","2008 - 2008","","","6133284","-986896",,"",0,"I",,,,,,,,0,"1","25:6:2018:12:54:23",0,"-460552:1.27;-16777216:2.96;-14942153:13.48;-2368549:14.46;-16767426:31.22;-16771281:32.99;-1907998:3.62;",,,,,,,,,
235493,-1,-1,,,,,"BC",82,"S1","COPPER MET","2008 - 2008","","","87C0704","-986896",,"",0,"I",,,,,,,,0,"1","25:6:2018:12:55:30",0,"-13691136:5.62;-2368549:23.97;-16777216:20.78;-9830400:43.64;-1907998:5.99;",,,,,,,,,
235494,-1,-1,,,,,"BC",82,"S1","DARK BEIGE MET","1997 - 1997","","","3160664","-986896",,"",0,"I",,,,,,,,0,"1","25:6:2018:12:56:28",0,"-14942153:0.96;-16777216:7;-2368549:11.48;-4144960:12.2;-8388608:9.5;-2368549:46.66;-1907998:12.2;",,,,,,,,,
235495,-1,-1,,,,,"BC",82,"S1","DARK BLUE MET","2008 - 2008","","","6195239","-986896",,"",0,"I",,,,,,,,0,"1","25:6:2018:12:57:32",0,"-2368549:0.83;-2236963:2.61;-9890257:15.73;-16777216:32.99;-16767426:28.63;-16777216:19.02;-1907998:0.21;",,,,,,,,,
235496,-1,-1,,,,,"BC",82,"S1","GREEN","2008 - 2008","","","4507","-986896",,"",0,"I",,,,,,,,0,"1","25:6:2018:12:59:8",0,"-1401344:4.58;-16765184:14.67;-41969:18.42;-235:19.01;-1:43.32;",,,,,,,,,
235497,-1,-1,,,,,"2K",82,"S1","GREEN","2008 - 2008","","","4507","-986896",,"",0,"I",,,,,,,,0,"1","25:6:2018:12:59:10",0,"",,,,,,,,,
235498,-1,-1,,,,,"BC",82,"S1","GREEN","1997 - 1997","","","5150531","-986896",,"",0,"I",,,,,,,,0,"1","25:6:2018:13:0:19",0,"-8320469:0.15;-2604543:0.98;-13092808:0.75;-16771281:7;-1:19.1;-4227838:24.79;-205036:28.33;-235:18.89;",,,,,,,,,
235499,-1,-1,,,,,"LS",82,"S1","GREEN","1997 - 1997","","","5150531","-986896",,"",0,"I",,,,,,,,0,"0","25:6:2018:13:5:24",0,"-70098:69.38;-32768:2.95;-16769491:8.69;-1:16.51;-15987700:2.47;",,,,,,,,,
235500,-1,-1,,,,,"BC",82,"S1","GREY","1997 - 1997","","","9190281","-986896",,"",0,"I",,,,,,,,0,"1","25:6:2018:13:7:2",0,"-13092808:0.28;-16771281:2.6;-4227838:16.33;-1:33.44;-16777216:47.36;",,,,,,,,,
