"id_formula","id_formulaX","id_formulaY","formulaImgPath","otherPrice","id_otherCurreny","id_otherUnit","type","id_car","version","name_formula","c_year","variant","duplicate","colorCode","colorRGB","clientName","cardNumber","seqnum","state","id_formulaZ","id_formulaZp","id_formulaZ2p","id_formulaXp","id_formulaX2p","id_formulaYp","id_formulaY2p","isEquation15perc4201","converted","Date_cre_mod","noEquation4201_180","colorRGBPerc","code_formulaX","code_formulaXp","code_formulaXpp","code_formulaY","code_formulaYp","code_formulaYpp","code_formulaZ","code_formulaZp","code_formulaZpp"
17277,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",54,"S1","ORANGE","2000 - 2001","","0","MOR","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
17278,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",54,"S1","SOLID BLUE","2008 - 2008","","0","RXB","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
69589,-1,-1,"0                                                                                                   ",0.00,0,0,"BC",54,"S1","BIANCO PEARL (Couche)","2005 - 2006","","0","BPE","-1118482","","",0,"0",,,,,,,,,"1",,,"-1447445:63.45;-460552:36.55;",,,,,,,,,
69592,-1,-1,"0                                                                                                   ",0.00,0,0,"BC",54,"S1","EXREME BLUE MET","2005 - 2007","","0","EBE","-6053208","","",0,"0",,,,,,,,,"1",,,"-1907998:2.21;-16777216:36.64;-2236673:41;-2368549:8.84;-460552:6.84;-16777152:3.75;-12582912:0.73;",,,,,,,,,
69594,-1,-1,"0                                                                                                   ",0.00,0,0,"BC",54,"S1","WHITE PEARL (Couche)","1998 - 2005","","0","EEB","-3225918","","",0,"0",,,,,,,,,"1",,,"-8388608:0.65;-1:1.35;-13092808:1.3;-1315861:91.43;-1513767:5.27;",,,,,,,,,
69595,-1,-1,"0                                                                                                   ",0.00,0,0,"BC",54,"S1*","WHITE PEARL (Sous-Couche)","1998 - 2005","","0","EEB","-3489392","","",0,"0",,,,,,,,,"1",,,"-1:88.99;-235:0.14;-13092808:10.87;",,,,,,,,,
69599,-1,-1,"0                                                                                                   ",0.00,0,0,"BC",54,"S1","MANTA GRAPHICA PEARL","1998 - 1999","","0","EEF","-11053476","","",2,"U",,,,,,,,,"1",,,"-16777216:18.66;-792321:0.37;-15790321:62.21;-2628353:14.87;-16765184:3.37;-1:0.52;",,,,,,,,,
69602,-1,-1,"0                                                                                                   ",0.00,0,0,"BC",54,"S1","LIGHT DRIFTWOOD PEARL","1998 - 2006","","0","EEJ","-2764082","","",2,"U",,,,,,,,,"1",,,"-12582912:1.92;-1907998:15.25;-4144960:64.5;-16761826:0.19;-460552:7.93;-17617:7.82;-13691136:2.38;",,,,,,,,,
69606,-1,-1,"0                                                                                                   ",0.00,0,0,"BC",54,"S1","FRESH SILVER MET","2001 - 2005","","0","FSE","-2501171","","",0,"0",,,,,,,,,"1",,,"-16777152:0.92;-16767426:1.33;-1:1.44;-2368549:64.39;-1907998:23.31;-2649856:8.61;",,,,,,,,,
69608,-1,-1,"0                                                                                                   ",0.00,0,0,"BC",54,"S1","GOLD MET","2010 - 2010","","0","GOE","-6580849","","",0,"0",,,,,,,,,"1",,,"-13691136:40.57;-4408132:59.43;",,,,,,,,,
69618,-1,-1,"0                                                                                                   ",0.00,0,0,"BC",54,"S1","SILVER MET","2000 - 2001","","0","MMB","-2105377","","",0,"0",,,,,,,,,"1",,,"-1907998:12.24;-2368549:48.97;-4144960:32.65;-460552:6.14;",,,,,,,,,
