"id_formulaColor","id_formula","id_color","quantite","id_unit","state","encrypted"
256088,147115,10,"83.6852063213345",2,"I",0
256089,147115,880,"6.03597453906936",2,"I",0
256090,147115,1386,"18.1079236172081",2,"I",0
256091,147115,341,"20.0517120280948",2,"I",0
256092,147115,411,"33.1467076382792",2,"I",0
256093,147115,387,"47.776273046532",2,"I",0
256094,147115,340,"65.2703687445127",2,"I",0
256095,147115,1385,"97.70094381036",2,"I",0
256096,147115,25,"121.742537313433",2,"I",0
256097,147115,369,"410.037050043898",2,"I",0
256098,147115,117,"28.6453028972783",2,"I",0
274743,151089,10,"91.5",2,"I",0
274744,151089,836,"1.4",2,"I",0
274745,151089,340,"15",2,"I",0
274746,151089,341,"16.1",2,"I",0
274747,151089,1162,"48.5",2,"I",0
274748,151089,6931,"69.8",2,"I",0
274749,151089,115,"90.1",2,"I",0
274750,151089,25,"593.5",2,"I",0
274758,151090,10,"93.1",2,"I",0
274759,151090,1165,"4.2",2,"I",0
274760,151090,906,"12.8",2,"I",0
274761,151090,413,"45.6",2,"I",0
274762,151090,115,"60",2,"I",0
274763,151090,1163,"101.4",2,"I",0
274772,151088,10,"84.6",2,"I",0
274773,151088,62,"3.2",2,"I",0
274774,151088,92,"3.5",2,"I",0
274775,151088,455,"10.9",2,"I",0
274776,151088,24,"46.6",2,"I",0
274777,151088,25,"80.4",2,"I",0
274778,151088,28,"128.6",2,"I",0
274779,151088,1167,"144.7",2,"I",0
274780,151088,338,"361",2,"I",0
274934,151095,10,"105",2,"I",0
274935,151095,369,"5.2",2,"I",0
274936,151095,25,"15.2",2,"I",0
274937,151095,115,"126.1",2,"I",0
274938,151095,338,"279.4",2,"I",0
274939,151095,1167,"399.1",2,"I",0
274946,151097,10,"103.8",2,"I",0
274947,151097,465,"5.9",2,"I",0
274948,151097,1163,"13.9",2,"I",0
274949,151097,25,"19.8",2,"I",0
274950,151097,1167,"370.3",2,"I",0
274951,151097,338,"396.1",2,"I",0
274952,151097,117,"24.2",2,"I",0
505770,151090,25,"611.3",2,"I",0
505876,151088,117,"60.4",2,"I",0
667623,151099,10,"87.5",2,"I",0
667624,151099,413,"13.6",2,"I",0
667625,151099,115,"27.9",2,"I",0
