"id_formula","id_formulaX","id_formulaY","formulaImgPath","otherPrice","id_otherCurreny","id_otherUnit","type","id_car","version","name_formula","c_year","variant","duplicate","colorCode","colorRGB","clientName","cardNumber","seqnum","state","id_formulaZ","id_formulaZp","id_formulaZ2p","id_formulaXp","id_formulaX2p","id_formulaYp","id_formulaY2p","isEquation15perc4201","converted","Date_cre_mod","noEquation4201_180","colorRGBPerc","code_formulaX","code_formulaXp","code_formulaXpp","code_formulaY","code_formulaYp","code_formulaYpp","code_formulaZ","code_formulaZp","code_formulaZpp"
17510,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",57,"S1","ALPINWEISS","1996 - 1996","","0","025 - P1","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
17511,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",57,"S1","OCKER (Couche)","1998 - 1998","","0","10000","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
17513,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",57,"S1","GRUEN","1998 - 1998","","0","10001","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
17514,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",57,"S1","ORANGE (Couche)","1998 - 1998","","0","10002","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
17516,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",57,"S1","GRAU MATT (+ Lacquer)","2001 - 2003","","0","10003","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
17517,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",57,"S1","GRAU MATT (+ Lacquer)","2011 - 2012","","0","10006","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
17518,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",57,"S1","WEISS","1975 - 1989","","0","1001","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
17519,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",57,"S2","WEISS","1975 - 1989","D+Y","0","1001","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
17520,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",57,"S3","WEISS","1975 - 1989","D+G","0","1001","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
17521,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",57,"S1","GRAUWEISS","1998 - 2001","","0","1021 - T7","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
