"id_formulaColor","id_formula","id_color","quantite","id_unit","state","encrypted"
17483,17722,6894,"25.5",2,"I",0
17484,17722,223275,"63.04",2,"I",0
17485,17722,6909,"102.23",2,"I",0
17486,17724,6894,"8.94",2,"I",0
17487,17724,6925,"9.72",2,"I",0
17488,17724,223275,"19.65",2,"I",0
17489,17724,6908,"252.95",2,"I",0
17490,17724,6910,"637.63",2,"I",0
17491,17726,6925,"68.85",2,"I",0
17492,17726,223275,"74.59",2,"I",0
17493,17726,6908,"272.08",2,"I",0
17494,17726,6927,"515.48",2,"I",0
17573,17755,6898,"0.04",2,"I",0
17574,17755,6894,"40.37",2,"I",0
17575,17755,6924,"49.77",2,"I",0
17576,17753,6924,"48.05",2,"I",0
17577,17753,6894,"50.93",2,"I",0
17578,17753,6898,"7.26",2,"I",0
17579,17753,6928,"852.76",2,"I",0
17660,17781,6894,"25.5",2,"I",0
17661,17781,223275,"63.04",2,"I",0
17662,17781,6909,"102.23",2,"I",0
17663,17781,6910,"740.23",2,"I",0
17664,17783,6894,"8.94",2,"I",0
17665,17783,6925,"9.72",2,"I",0
17666,17783,223275,"19.65",2,"I",0
17667,17783,6908,"252.95",2,"I",0
17668,17783,6910,"637.63",2,"I",0
17669,17785,6925,"68.85",2,"I",0
17670,17785,223275,"74.59",2,"I",0
17671,17785,6908,"272.08",2,"I",0
17672,17785,6927,"515.48",2,"I",0
17692,17796,6894,"25.5",2,"I",0
17693,17796,223275,"63.04",2,"I",0
17694,17796,6909,"102.23",2,"I",0
17695,17798,6894,"8.94",2,"I",0
17696,17798,6925,"9.72",2,"I",0
17697,17798,223275,"19.65",2,"I",0
17698,17798,6908,"252.95",2,"I",0
17699,17798,6910,"637.63",2,"I",0
17700,17800,6925,"68.85",2,"I",0
17701,17800,223275,"74.59",2,"I",0
17702,17800,6908,"272.08",2,"I",0
17703,17800,6927,"515.48",2,"I",0
17816,17830,6894,"25.5",2,"I",0
17817,17830,223275,"63.04",2,"I",0
17818,17830,6909,"102.23",2,"I",0
17819,17830,6910,"740.23",2,"I",0
17820,17832,6894,"8.94",2,"I",0
17821,17832,6925,"9.72",2,"I",0
17822,17832,223275,"19.65",2,"I",0
17823,17832,6908,"252.95",2,"I",0
17824,17832,6910,"637.63",2,"I",0
17825,17834,6925,"68.85",2,"I",0
17826,17834,223275,"74.59",2,"I",0
17827,17834,6908,"272.08",2,"I",0
17828,17834,6927,"515.48",2,"I",0
17855,17846,6898,"0.04",2,"I",0
17856,17846,6894,"40.37",2,"I",0
17857,17846,6924,"49.77",2,"I",0
17858,17846,6928,"875.21",2,"I",0
17859,17844,6924,"48.05",2,"I",0
17860,17844,6894,"50.93",2,"I",0
17861,17844,6898,"7.26",2,"I",0
17862,17844,6928,"852.76",2,"I",0
62367,70592,10,"77.2",2,"I",0
62368,70592,1165,"9.1",2,"I",0
62369,70592,340,"24.4",2,"I",0
62370,70592,92,"14",2,"I",0
62371,70592,24,"87.3",2,"I",0
62372,70592,115,"82.7",2,"I",0
62373,70592,341,"198.4",2,"I",0
62374,70592,337,"189",2,"I",0
62375,70592,342,"179.5",2,"I",0
62473,70649,10,"60.9",2,"I",0
62474,70649,41,"0.7",2,"I",0
62475,70649,15,"37.8",2,"I",0
62476,70649,293,"46.6",2,"I",0
62477,70647,10,"66",2,"I",0
62478,70647,293,"40",2,"I",0
62479,70647,15,"42.4",2,"I",0
62480,70647,41,"100.7",2,"I",0
62481,70647,459,"709.9",2,"I",0
62527,70663,10,"77.2",2,"I",0
62528,70663,1165,"9.1",2,"I",0
62529,70663,340,"24.4",2,"I",0
62530,70663,92,"14",2,"I",0
62531,70663,24,"87.3",2,"I",0
62532,70663,115,"82.7",2,"I",0
62533,70663,341,"198.4",2,"I",0
62534,70663,342,"189",2,"I",0
62535,70663,337,"179.5",2,"I",0
62536,70663,117,"77.1",2,"I",0
62729,70762,10,"74.3",2,"I",0
62730,70762,24,"8.6",2,"I",0
62731,70762,115,"89.8",2,"I",0
62732,70762,338,"720.8",2,"I",0
62733,70762,117,"36.1",2,"I",0
62734,70763,10,"80.7",2,"I",0
62735,70763,27,"11",2,"I",0
62736,70763,115,"45.8",2,"I",0
62737,70763,28,"245.9",2,"I",0
62738,70763,338,"481.4",2,"I",0
62739,70764,10,"87.5",2,"I",0
62740,70764,27,"5",2,"I",0
62741,70764,115,"42",2,"I",0
62742,70764,28,"318.3",2,"I",0
62743,70764,338,"464.2",2,"I",0
62744,70764,117,"8.4",2,"I",0
62967,70850,10,"60.9",2,"I",0
62968,70850,41,"0.7",2,"I",0
62969,70850,15,"37.8",2,"I",0
62970,70850,293,"46.6",2,"I",0
62971,70850,459,"819.4",2,"I",0
62972,70848,10,"66",2,"I",0
62973,70848,293,"40",2,"I",0
62974,70848,15,"42.4",2,"I",0
62975,70848,41,"100.7",2,"I",0
62999,70859,10,"74.3",2,"I",0
63000,70859,24,"8.6",2,"I",0
63001,70859,115,"89.8",2,"I",0
63002,70859,338,"720.8",2,"I",0
63003,70859,117,"36.1",2,"I",0
63004,70860,10,"80.7",2,"I",0
63005,70860,27,"11",2,"I",0
63006,70860,115,"45.8",2,"I",0
63007,70860,28,"245.9",2,"I",0
63008,70860,338,"481.4",2,"I",0
63009,70860,117,"61.9",2,"I",0
63010,70861,10,"87.5",2,"I",0
63011,70861,27,"5",2,"I",0
63012,70861,115,"42",2,"I",0
63013,70861,28,"318.3",2,"I",0
63014,70861,338,"464.2",2,"I",0
63057,70877,10,"77.2",2,"I",0
63058,70877,1165,"9.1",2,"I",0
63059,70877,340,"24.4",2,"I",0
63060,70877,92,"14",2,"I",0
63061,70877,24,"87.3",2,"I",0
63062,70877,115,"82.7",2,"I",0
63063,70877,341,"198.4",2,"I",0
63064,70877,337,"189",2,"I",0
63065,70877,342,"179.5",2,"I",0
95963,93628,6912,"5",2,"I",0
95964,93628,6897,"5.4",2,"I",0
95965,93628,6898,"17.4",2,"I",0
95966,93628,6894,"1014.8",2,"I",0
95967,93630,6912,"6.5",2,"I",0
95968,93630,6898,"14.5",2,"I",0
95969,93630,6897,"15.2",2,"I",0
95970,93630,6894,"998.1",2,"I",0
95971,93632,6897,"8.5",2,"I",0
95972,93632,6898,"14.8",2,"I",0
95973,93632,6912,"23",2,"I",0
95974,93632,6894,"994",2,"I",0
503174,17722,6910,"740.23",2,"I",0
503325,70592,117,"77.1",2,"I",0
505194,17755,6928,"875.21",2,"I",0
505195,70649,459,"819.4",2,"I",0
505269,17796,6910,"740.23",2,"I",0
505275,70763,117,"61.9",2,"I",0
507039,70848,459,"709.9",2,"I",0
507069,70861,117,"8.4",2,"I",0
507101,70877,117,"77.1",2,"I",0
593689,17621,6894,"25.5",2,"I",0
593690,17621,223275,"63.04",2,"I",0
593691,17621,6909,"102.23",2,"I",0
593692,17621,6910,"740.23",2,"I",0
593698,17623,6894,"8.94",2,"I",0
593699,17623,6925,"9.72",2,"I",0
593700,17623,223275,"19.65",2,"I",0
593701,17623,6908,"252.95",2,"I",0
593702,17623,6910,"637.63",2,"I",0
593709,17625,6925,"68.85",2,"I",0
593710,17625,223275,"74.59",2,"I",0
593711,17625,6908,"272.08",2,"I",0
593712,17625,6927,"515.48",2,"I",0
623319,17675,6898,"0.04",2,"I",0
623320,17675,6894,"40.37",2,"I",0
623321,17675,6924,"49.77",2,"I",0
623322,17675,6928,"875.21",2,"I",0
623323,70410,10,"60.9",2,"I",0
623324,70410,41,"0.7",2,"I",0
623325,70410,15,"37.8",2,"I",0
623326,70410,293,"46.6",2,"I",0
623327,70410,459,"819.4",2,"I",0
623334,17673,6924,"48.05",2,"I",0
623335,17673,6894,"50.93",2,"I",0
623336,17673,6898,"7.26",2,"I",0
623337,17673,6928,"852.76",2,"I",0
623338,70408,10,"66",2,"I",0
623339,70408,293,"40",2,"I",0
623340,70408,15,"42.4",2,"I",0
623341,70408,41,"100.7",2,"I",0
623342,70408,459,"709.9",2,"I",0
633480,70428,10,"74.3",2,"I",0
633481,70428,24,"8.6",2,"I",0
633482,70428,115,"89.8",2,"I",0
633483,70428,338,"720.8",2,"I",0
633484,70428,117,"36.1",2,"I",0
633485,70429,10,"80.7",2,"I",0
633486,70429,27,"11",2,"I",0
633487,70429,115,"45.8",2,"I",0
633488,70429,28,"245.9",2,"I",0
633489,70429,338,"481.4",2,"I",0
633490,70429,117,"61.9",2,"I",0
633491,70430,10,"87.5",2,"I",0
633492,70430,27,"5",2,"I",0
633493,70430,115,"42",2,"I",0
633494,70430,28,"318.3",2,"I",0
633495,70430,338,"464.2",2,"I",0
633496,70430,117,"8.4",2,"I",0
636177,133880,10,"88.2628547922666",2,"I",0
636178,133880,880,"9.89675030851502",2,"I",0
636179,133880,27,"35.6484985602633",2,"I",0
636180,133880,25,"52.1902097902098",2,"I",0
636181,133880,24,"74.6295763060469",2,"I",0
636182,133880,1386,"86.1421225832991",2,"I",0
636183,133880,115,"102.199095022624",2,"I",0
636184,133880,28,"199.954751131222",2,"I",0
636185,133880,338,"283.976141505553",2,"I",0
638448,70915,10,"84.3",2,"I",0
638449,70915,455,"5",2,"I",0
638450,70915,41,"11.9",2,"I",0
638451,70915,27,"38.5",2,"I",0
638452,70915,880,"113.9",2,"I",0
638453,70915,28,"481.8",2,"I",0
638454,70915,338,"192.7",2,"I",0
639088,134075,10,"88.707456136324",2,"I",0
639089,134075,25,"86.345303304351",2,"I",0
639090,134075,15,"929.147240559325",2,"I",0
642357,17865,6894,"14.91",2,"I",0
642358,17865,6897,"69.81",2,"I",0
642359,17865,6928,"88.04",2,"I",0
642360,17865,6916,"209.43",2,"I",0
642361,17865,6924,"547",2,"I",0
642362,70921,10,"88",2,"I",0
642363,70921,15,"13.5",2,"I",0
642364,70921,92,"63.2",2,"I",0
642365,70921,459,"79.7",2,"I",0
642366,70921,463,"189.6",2,"I",0
642367,70921,293,"495.2",2,"I",0
642399,17874,6894,"11.49",2,"I",0
642400,17874,6916,"50.36",2,"I",0
642401,17874,6897,"169.2",2,"I",0
642402,17874,6928,"173.62",2,"I",0
642403,17874,6924,"523.63",2,"I",0
642404,70930,10,"87.8",2,"I",0
642405,70930,15,"10.4",2,"I",0
642406,70930,463,"45.6",2,"I",0
642407,70930,92,"153.2",2,"I",0
642408,70930,459,"157.2",2,"I",0
642409,70930,293,"474.1",2,"I",0
642410,146221,10,"88.1210195334927",2,"I",0
642411,146221,25,"8.76704006836055",2,"I",0
642412,146221,15,"1028.11194039815",2,"I",0
642416,17867,6897,"34.33",2,"I",0
642417,17867,6923,"105.96",2,"I",0
642418,17867,6895,"118.51",2,"I",0
642419,17867,6915,"243.95",2,"I",0
642420,17867,6924,"454.45",2,"I",0
642421,70923,10,"87.3",2,"I",0
642422,70923,92,"31.2",2,"I",0
642423,70923,341,"96.3",2,"I",0
642424,70923,115,"107.7",2,"I",0
642425,70923,294,"221.7",2,"I",0
642426,70923,293,"413",2,"I",0
642427,17869,6898,"8.13",2,"I",0
642428,17869,6894,"16.37",2,"I",0
642429,17869,6915,"327.19",2,"I",0
642430,17869,6924,"620.21",2,"I",0
642431,70925,10,"87.3",2,"I",0
642432,70925,24,"7.4",2,"I",0
642433,70925,15,"14.9",2,"I",0
642434,70925,294,"297.8",2,"I",0
642435,70925,293,"564.5",2,"I",0
691953,87784,10,"1",2,"I",0
693474,17510,6905,"6.9",2,"I",0
693475,17510,6896,"26.97",2,"I",0
693476,17510,6898,"10.57",2,"I",0
693477,17510,6894,"1041.46",2,"I",0
693478,70244,10,"93.1073381995134",2,"I",0
693479,70244,14,"3.48756204379562",2,"I",0
693480,70244,62,"22.72199513382",2,"I",0
693481,70244,41,"89.0913576642336",2,"I",0
693482,70244,15,"877.491746958637",2,"I",0
698111,17511,6897,"33.33",2,"I",0
698112,17511,6925,"52.74",2,"I",0
698113,17511,6898,"3.86",2,"I",0
698114,17511,6900,"231.21",2,"I",0
698115,17511,6896,"639.36",2,"I",0
698116,70245,10,"89.8239192005558",2,"I",0
698117,70245,92,"26.3312403142201",2,"I",0
698118,70245,305,"46.2978143536579",2,"I",0
698119,70245,41,"33.8764495270667",2,"I",0
698120,70245,6899,"202.950729439427",2,"I",0
