"id_formula","id_formulaX","id_formulaY","formulaImgPath","otherPrice","id_otherCurreny","id_otherUnit","type","id_car","version","name_formula","c_year","variant","duplicate","colorCode","colorRGB","clientName","cardNumber","seqnum","state","id_formulaZ","id_formulaZp","id_formulaZ2p","id_formulaXp","id_formulaX2p","id_formulaYp","id_formulaY2p","isEquation15perc4201","converted","Date_cre_mod","noEquation4201_180","colorRGBPerc","code_formulaX","code_formulaXp","code_formulaXpp","code_formulaY","code_formulaYp","code_formulaYpp","code_formulaZ","code_formulaZp","code_formulaZpp"
17921,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",59,"S1","BLACK MAT (+ Lacquer)","2005 - 2006","","0","10000","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
17922,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",59,"S1","BLACK MAT (+ Lacquer)","2005 - 2006","","0","10001","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
17923,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",59,"S1","SUPER RED","2001 - 2001","","0","73L","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
17924,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",59,"S1","ORIENTAL BLUE","1991 - 1991","","0","BD","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
17925,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",59,"S1","KNIGHT BLACK","1988 - 1996","","0","KB","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
17926,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",59,"S1","CLASSIC BLACK","2000 - 2016","","0","LAE","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
17927,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",59,"S1","ANTHRACITE BLACK","2002 - 2008","","0","LAM","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
17928,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",59,"S1","IMPERIAL RED","1994 - 1994","","0","RC","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
17929,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",59,"S1","GRAND WHITE","1998 - 2016","","0","WAA","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
17930,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",59,"S2","GRAND WHITE","1998 - 2016","R","0","WAA","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
17931,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",59,"S1","GRAND WHITE","1994 - 2004","","0","WE","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
71032,-1,-1,"0                                                                                                   ",0.00,0,0,"BC",59,"S1","SUPER RED","2001 - 2001","","0","73L","-5104098","","",0,"0",,,,,,,,,"1",,,"-1:1.55;-13092808:2.47;-8320469:12.94;-3801088:74.22;-2604543:8.82;",,,,,,,,,
71060,-1,-1,"0                                                                                                   ",0.00,0,0,"BC",59,"S1","TONER GREY MET MAT (Bumper Color & Lacquer)","1995 - 1999","","0","AW","-3554628","","",0,"0",,,,,,,,,"1",,,"-2368549:9.55;-4144960:80.83;-16777216:8.14;-3775744:1.48;",,,,,,,,,
71063,134171,134153,"0                                                                                                   ",0.00,0,0,"BC",59,"","BAF + ABN","2005 - 2008","","0","BAF","0","","",0,"0",-2,-2,-2,0,0,0,0,,"0",,,,"BAF",,,"ABN",,,,,
71075,-1,-1,"0                                                                                                   ",0.00,0,0,"BC",59,"S2","ICE BLUE MET","2010 - 2014","L","0","BAO","-4344135","","",0,"0",,,,,,,,,"1",,,"-13092808:0.65;-16767426:3.57;-1907998:15.35;-1:1.51;-4653056:2.15;-2368549:76.77;",,,,,,,,,
71080,-1,-1,"0                                                                                                   ",0.00,0,0,"BC",59,"S1","SILKY BEIGE MET","2003 - 2006","","0","EAF","-2237998","","",0,"0",,,,,,,,,"1",,,"-2368549:35.95;-1907998:30.56;-1:17.68;-3775744:3.12;-658244:12.69;",,,,,,,,,
71084,-1,-1,"0                                                                                                   ",0.00,0,0,"BC",59,"S1","SAHARA BEIGE MET","2006 - 2013","","0","EAO","-2566703","","",0,"0",,,,,,,,,"1",,,"-13691136:2.83;-460552:5.98;-3775744:2.99;-658244:0.61;-16777216:3.95;-2368549:49.44;-1907998:9.89;-4144960:24.31;",,,,,,,,,
71088,-1,-1,"0                                                                                                   ",0.00,0,0,"BC",59,"S1","PALE GREEN MET","1997 - 1999","","0","GAA","-6383214","","",0,"0",,,,,,,,,"1",,,"-3775744:22.59;-1907998:2.99;-4144960:40.59;-16761826:6.38;-15790321:13.86;-2368549:11.95;-1:1.64;",,,,,,,,,
71091,-1,-1,"0                                                                                                   ",0.00,0,0,"BC",59,"S1","TEAL GREEN MET","2002 - 2006","","0","GAH","-10063234","","",0,"0",,,,,,,,,"1",,,"-460552:1.76;-2368549:52;-16761826:3.41;-16777216:18.48;-2368549:10.5;-16771281:0.83;-1907998:13.03;",,,,,,,,,
71104,-1,-1,"0                                                                                                   ",0.00,0,0,"BC",59,"S3","SPACE BLACK MET","2001 - 2016","D+D","0","LAK","0","","",0,"0",,,,,,,,,"0",,,,,,,,,,,,
