"id_formulaColor","id_formula","id_color","quantite","id_unit","state","encrypted"
188488,134709,10,"94.5204246148934",2,"I",0
188489,134709,15,"478.307797908852",2,"I",0
188490,134709,25,"438.771777476255",2,"I",0
188764,134770,10,"94.0961581238679",2,"I",0
188765,134770,15,"481.031618418126",2,"I",0
188766,134770,25,"441.272223458006",2,"I",0
254632,146884,10,"87.6017809153263",2,"I",0
254633,146884,25,"7.40360194135815",2,"I",0
254634,146884,27,"16.018611367374",2,"I",0
254635,146884,15,"1012.17600577594",2,"I",0
269571,150447,10,"87.5",2,"I",0
269572,150447,413,"4.5",2,"I",0
269573,150447,1385,"31.7",2,"I",0
269574,150447,1386,"36.3",2,"I",0
269575,150447,340,"734.3",2,"I",0
269576,150447,117,"13.6",2,"I",0
278487,102009,10,"87.5",2,"I",0
278488,102009,115,"20.9",2,"I",0
278489,102009,1386,"207.1",2,"I",0
278490,102009,340,"593.1",2,"I",0
278491,102009,117,"12.6",2,"I",0
278492,150444,10,"72",2,"I",0
278493,150444,6940,"4.7",2,"I",0
278494,150444,25,"15.9",2,"I",0
278495,150444,62,"24.9",2,"I",0
278496,150444,15,"1003.2",2,"I",0
278902,151606,10,"86.5",2,"I",0
278903,151606,1165,"19.4",2,"I",0
278904,151606,115,"32.3",2,"I",0
278905,151606,1162,"43.6",2,"I",0
278906,151606,387,"57.7",2,"I",0
278907,151606,25,"93.6",2,"I",0
278908,151606,340,"106.5",2,"I",0
278909,151606,1163,"109.7",2,"I",0
278910,151606,369,"139.7",2,"I",0
278911,151606,338,"203.2",2,"I",0
278912,151606,117,"31",2,"I",0
278992,72048,10,"70.2",2,"I",0
278993,72048,455,"27",2,"I",0
278994,72048,27,"34.5",2,"I",0
278995,72048,14,"63.5",2,"I",0
278996,72048,24,"82.5",2,"I",0
278997,72048,115,"112.5",2,"I",0
278998,72048,338,"484.8",2,"I",0
278999,72048,117,"48.2",2,"I",0
279000,71851,10,"68.1",2,"I",0
279001,71851,880,"12.7",2,"I",0
279002,71851,455,"25.6",2,"I",0
279003,71851,27,"47.1",2,"I",0
279004,71851,24,"72",2,"I",0
279005,71851,115,"138.9",2,"I",0
279006,71851,338,"524.1",2,"I",0
279083,71995,10,"89.3",2,"I",0
279084,71995,455,"10.2",2,"I",0
279085,71995,115,"14.6",2,"I",0
279086,71995,28,"135.8",2,"I",0
279087,71995,27,"209.2",2,"I",0
279088,71995,338,"461.1",2,"I",0
279089,71995,117,"8.5",2,"I",0
279090,134699,10,"83.9",2,"I",0
279091,134699,6931,"23.1",2,"I",0
279092,134699,25,"142.9",2,"I",0
279093,134699,24,"244.7",2,"I",0
279094,134699,338,"413.2",2,"I",0
279095,134707,10,"75.8",2,"I",0
279096,134707,24,"2.9",2,"I",0
279097,134707,25,"11",2,"I",0
279098,134707,115,"116.9",2,"I",0
279099,134707,465,"138.9",2,"I",0
279100,134707,337,"287.3",2,"I",0
279101,134707,342,"289.3",2,"I",0
279102,134707,117,"12.4",2,"I",0
279103,134708,10,"83.5",2,"I",0
279104,134708,24,"0.9",2,"I",0
279105,134708,25,"2.5",2,"I",0
279106,134708,15,"8.8",2,"I",0
279107,134708,92,"38.9",2,"I",0
279108,134708,465,"162.5",2,"I",0
279109,134708,337,"305.1",2,"I",0
279110,134708,342,"307",2,"I",0
279111,134720,10,"93.4",2,"I",0
279112,134720,338,"8.8",2,"I",0
279113,134720,1165,"10.6",2,"I",0
279114,134720,24,"34.5",2,"I",0
279115,134720,25,"56.4",2,"I",0
279116,134720,6931,"144.5",2,"I",0
279117,134720,387,"169.1",2,"I",0
279118,134720,1163,"176.2",2,"I",0
279119,134720,413,"212.1",2,"I",0
279120,134720,117,"22.2",2,"I",0
279160,151610,10,"90.1",2,"I",0
279161,151610,115,"12.2",2,"I",0
279162,151610,1165,"13.6",2,"I",0
279163,151610,338,"14.3",2,"I",0
279164,151610,25,"31.6",2,"I",0
279165,151610,6931,"52.7",2,"I",0
279166,151610,413,"100",2,"I",0
279167,151610,387,"241.8",2,"I",0
279168,151610,1163,"340.1",2,"I",0
279169,134732,10,"86.3",2,"I",0
279170,134732,25,"7.2",2,"I",0
279171,134732,23,"7.6",2,"I",0
279172,134732,880,"20.8",2,"I",0
279173,134732,27,"29",2,"I",0
279174,134732,28,"33",2,"I",0
279175,134732,451,"250.5",2,"I",0
279176,134732,338,"443.6",2,"I",0
279177,134732,117,"53.1",2,"I",0
