"id_formula","id_formulaX","id_formulaY","formulaImgPath","otherPrice","id_otherCurreny","id_otherUnit","type","id_car","version","name_formula","c_year","variant","duplicate","colorCode","colorRGB","clientName","cardNumber","seqnum","state","id_formulaZ","id_formulaZp","id_formulaZ2p","id_formulaXp","id_formulaX2p","id_formulaYp","id_formulaY2p","isEquation15perc4201","converted","Date_cre_mod","noEquation4201_180","colorRGBPerc","code_formulaX","code_formulaXp","code_formulaXpp","code_formulaY","code_formulaYp","code_formulaYpp","code_formulaZ","code_formulaZp","code_formulaZpp"
18241,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S1","BLACK","1980 - 1982","","0","019","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18242,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S2","BLACK","1980 - 1982","D","0","019","0","","",1,"U",,,,,,,,,"1",,,,,,,,,,,,
18243,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S1","FRANCOISE WHITE","1976 - 1985","","0","01T","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18244,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S1","RED","1970 - 1974","","0","046","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18245,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S1","BLUE","1990 - 1990","","0","05T","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18246,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S1","FANTASY BLACK","1974 - 1996","","0","07B","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18247,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S1","AVIGNON YELLOW","1979 - 1996","","0","09H","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18248,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S2","AVIGNON YELLOW (Couche)","1979 - 1996","D+R","0","09H","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18250,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S1","BLACK MAT (+ Lacquer)","1994 - 1994","","0","09L","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18251,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S1","AQUA BLUE","1987 - 1996","","0","0BJ","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18252,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S1","AVIGNON YELLOW","1990 - 1993","","0","0BL","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18253,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S1","POTAGE YELLOW","1990 - 1992","","0","0DC","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18254,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S1","BERING BLUE","1989 - 1996","","0","0DJ","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18255,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S1","BLUE","1999 - 2000","","0","0F2","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18256,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S1","BLACK","1999 - 2004","","0","0F5","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18257,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S1","GREEN","1996 - 1999","","0","0F6","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18258,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S1","RED","1999 - 2003","","0","0F8","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18259,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S1","FOREST GREEN","1990 - 1992","","0","0FE","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18260,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S1","GREY","1999 - 2004","","0","0FM","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18261,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S1","RED","1988 - 1998","","0","0FU","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18262,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S1","DARK BLUE","1996 - 2000","","0","0FV","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18263,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S1","WHITE","1987 - 2002","","0","0FW","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18264,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S1","WHITE","1995 - 2004","","0","0FW-2","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18265,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S1","BLUE MET MAT (+ Lacquer)","1994 - 1996","","0","0FX","0","","",0,"0",,,,,,,,,"0",,,,,,,,,,,,
18266,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S1","LIGHT BLUE","1997 - 2000","","0","0FX","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18267,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S1","GREY","1989 - 1996","","0","0FY","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18268,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S1","BLUE","1982 - 1999","","0","0FZ","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18269,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S1","GOLD","2000 - 2000","","0","0P2","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18270,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S1","BROWN","2000 - 2000","","0","0P3","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18271,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S1","BLUE","2000 - 2002","","0","0P4","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18272,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S1","LIGHT BRONZEMIST PRIMER","2002 - 2003","","0","0P5","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18273,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S1","RED","1992 - 1998","","0","0PW","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18274,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S1","CORDOBA RED","1991 - 1996","","0","0PZ","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18275,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S2","CORDOBA RED","1991 - 1996","Y","0","0PZ","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18276,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S1","OCEAN DARK BLUE","1991 - 1998","","0","0RA","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18277,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S2","OCEAN DARK BLUE","1991 - 1998","D","0","0RA","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18278,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S3","OCEAN DARK BLUE","1991 - 1998","R","0","0RA","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18279,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S4","OCEAN DARK BLUE","1991 - 1998","D+G","0","0RA","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18280,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S1","OLYMPUS WHITE","1991 - 1998","","0","0RB","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18281,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S2","OLYMPUS WHITE","1991 - 1998","Y","0","0RB","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18282,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S1","ALEUTIAN BLUE","1990 - 1995","","0","0RC","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18283,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S1","LIGHT COMPETITION BLUE","1990 - 1994","","0","0RY","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18284,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S1","VEGETABLE GREEN","1992 - 1992","","0","0UP","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18285,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S1","AFTERNOON GREEN","1990 - 1992","","0","0ZV","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18286,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S1","IVORY","1996 - 1998","","0","10001","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18287,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S1","RED","1981 - 1987","","0","11F","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18288,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S2","RED","1981 - 1987","L+R","0","11F","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18289,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S3","RED","1981 - 1987","L+Y","0","11F","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18290,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S1","SNOW WHITE","1982 - 1997","","0","11S","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18292,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S2","ABSOLUTE WHITE","2004 - 2008","Y","0","11U","0","","1*",0,"0",,,,,,,,,"0",,,,,,,,,,,,
18293,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S3","ABSOLUTE WHITE","2004 - 2008","B","0","11U","0","","1*",0,"0",,,,,,,,,"0",,,,,,,,,,,,
18294,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S1","ROYAL WINE RED","1981 - 1994","","0","11Y","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18295,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S2","ROYAL WINE RED","1981 - 1994","D+Y","0","11Y","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18296,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S3","ROYAL WINE RED","1981 - 1994","D+DRT","0","11Y","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18297,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S1","CARGO WHITE","1986 - 1989","","0","12U","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18298,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S1","APPLE RED","1980 - 1989","","0","13G","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18299,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S2","APPLE RED","1980 - 1989","D","0","13G","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18300,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S1","DARK BLUE","1990 - 1992","","0","13N","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18301,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S1","HONEY YELLOW","1987 - 1987","","0","13S","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18302,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S1","ST GERMAIN RED","1993 - 1993","","0","14G","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18303,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S2","ST GERMAIN RED","1993 - 1993","R","0","14G","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18304,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S1","WILDFIRE RED (Couche)","1993 - 1993","","0","15H","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18306,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S1","ST GERMAIN RED","1983 - 2000","","0","15P","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18307,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S4","ST GERMAIN RED","1983 - 2000","D+R","0","15P","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18308,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S5","ST GERMAIN RED","1983 - 2000","R","0","15P","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18309,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S6","ST GERMAIN RED","1983 - 2000","D+Y","0","15P","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18310,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S7","ST GERMAIN RED","1983 - 2000","Y+D","0","15P","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18311,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S8","ST GERMAIN RED","1983 - 2000","R+D","0","15P","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18312,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S2","ST GERMAIN RED (Couche)","1983 - 2000","D","0","15P","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18313,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S3","ST GERMAIN RED (Couche)","1983 - 2000","L","0","15P","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18316,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S1","SPECTRA RED","1988 - 1988","","0","16V","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18317,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S1","POLAR WHITE","1984 - 1992","","0","17A","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18318,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S2","POLAR WHITE","1984 - 1992","D+R","0","17A","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18319,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S1","LAPIS LAZULI BLUE","1988 - 1991","","0","18D","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18320,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S1","EMERALD GREEN","1980 - 2001","","0","19H","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18321,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S1","HAPPY RED","1984 - 1992","","0","19N","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18322,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S1","SAFARI BEIGE","1992 - 1994","","0","1AL","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18323,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S1","DARK BLUE","1998 - 2007","","0","1CZ","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18324,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S1","GREEN","1991 - 1992","","0","1DB","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18325,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S1","YELLOW","1992 - 1992","","0","1DC","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18326,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S1","WILLOW GREEN","1999 - 2001","","0","1GY","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18327,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S1","FLASH YELLOW (Couche)","1992 - 1994","","0","1HG","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18329,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S1","IVORY WHITE","1992 - 1992","","0","1HY","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18330,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S1","WHITE","1999 - 2018","","0","1LC","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18331,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S1","FLASH YELLOW (Couche)","1992 - 1995","","0","1NU","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18333,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S1","SATIN BLACK","1992 - 2009","","0","1SC","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18334,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S1","SATIN BLACK MAT (+ Lacquer)","1992 - 1997","","0","1SC","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18335,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S1","WILDFIRE RED (Couche)","1992 - 1995","","0","1SH","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18337,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S1","SIBERIA BLUE","1994 - 1995","","0","1VC","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18338,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S1","CLASSIC RED (Couche)","1994 - 1995","","0","1VD","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18340,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S1","ANTIQUE RED","1994 - 1995","","0","1ZC","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18341,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S1","UNIVERSAL BLACK","1985 - 1987","","0","21F","0","","",1,"U",,,,,,,,,"1",,,,,,,,,,,,
18342,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S1","PERSIA RED","1985 - 1992","","0","21L","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18343,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S2","PERSIA RED","1985 - 1992","Y","0","21L","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18344,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S3","PERSIA RED","1985 - 1992","D+Y","0","21L","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18345,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",61,"S4","PERSIA RED","1985 - 1992","Y+L","0","21L","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
