"id_formulaColor","id_formula","id_color","quantite","id_unit","state","encrypted"
19542,18407,6895,"8.7",2,"I",0
19543,18407,6898,"3.33",2,"I",0
19544,18407,6928,"285.25",2,"I",0
19545,18407,6924,"608.32",2,"I",0
19546,18409,223275,"4.42",2,"I",0
19547,18409,6916,"28.07",2,"I",0
19548,18409,6895,"111.18",2,"I",0
19549,18409,6928,"325.58",2,"I",0
19550,18409,6924,"449.14",2,"I",0
19551,18413,6903,"33.28",2,"I",0
19552,18413,6898,"7.31",2,"I",0
19553,18413,6912,"8.37",2,"I",0
19554,18413,6894,"1024.34",2,"I",0
19562,18417,6896,"14.51",2,"I",0
19563,18417,6903,"28.9",2,"I",0
19564,18417,6898,"5.21",2,"I",0
19565,18417,6894,"1050.18",2,"I",0
66720,72670,10,"79.9",2,"I",0
66721,72670,115,"7.5",2,"I",0
66722,72670,41,"47.9",2,"I",0
66723,72670,459,"245.9",2,"I",0
66758,72683,10,"98.2",2,"I",0
66759,72683,413,"8.5",2,"I",0
66760,72683,463,"9.5",2,"I",0
66761,72683,15,"24.6",2,"I",0
66762,72683,459,"71.8",2,"I",0
66763,72683,23,"155",2,"I",0
66764,72683,455,"179.6",2,"I",0
66765,72683,338,"194.7",2,"I",0
66766,72683,28,"147.6",2,"I",0
66767,72683,117,"43.5",2,"I",0
66768,72696,10,"86.7",2,"I",0
66769,72696,13,"24.9",2,"I",0
66770,72696,41,"91.1",2,"I",0
66771,72696,32,"104.3",2,"I",0
66772,72696,15,"766.3",2,"I",0
66782,72700,10,"90",2,"I",0
66783,72700,62,"12.4",2,"I",0
66784,72700,13,"24.7",2,"I",0
66785,72700,41,"74.2",2,"I",0
66786,72700,15,"897.5",2,"I",0
66806,72705,10,"86.6",2,"I",0
66807,72705,32,"14.3",2,"I",0
66808,72705,24,"24.2",2,"I",0
66809,72705,1385,"218.8",2,"I",0
66810,72705,780,"239.5",2,"I",0
66811,72705,338,"316.3",2,"I",0
66812,72706,10,"70.6",2,"I",0
66813,72706,27,"2.2",2,"I",0
66814,72706,115,"45.1",2,"I",0
66815,72706,41,"80.8",2,"I",0
66816,72706,116,"645.9",2,"I",0
66817,72706,117,"77.9",2,"I",0
66853,72719,10,"69.2",2,"I",0
66854,72719,27,"6.1",2,"I",0
66855,72719,880,"12.1",2,"I",0
66856,72719,24,"29.9",2,"I",0
66857,72719,115,"17.3",2,"I",0
66858,72719,3386,"269.1",2,"I",0
66859,72719,338,"510.8",2,"I",0
66860,72719,117,"17.3",2,"I",0
66861,72720,10,"87.3",2,"I",0
66862,72720,880,"7.2",2,"I",0
66863,72720,27,"7.2",2,"I",0
66864,72720,24,"19.5",2,"I",0
66865,72720,13,"61.6",2,"I",0
66866,72720,3386,"110.9",2,"I",0
66867,72720,115,"135.5",2,"I",0
66868,72720,338,"476.6",2,"I",0
66869,72722,10,"86.1",2,"I",0
66870,72722,880,"10.3",2,"I",0
66871,72722,24,"25.7",2,"I",0
66872,72722,115,"94",2,"I",0
66873,72722,3386,"202.5",2,"I",0
66874,72722,338,"463.9",2,"I",0
66875,72722,117,"52.1",2,"I",0
66908,72748,10,"80.7",2,"I",0
66909,72748,13,"10.3",2,"I",0
66910,72748,27,"7.9",2,"I",0
66911,72748,115,"36.8",2,"I",0
66912,72748,24,"44.7",2,"I",0
66913,72748,3386,"267.5",2,"I",0
66914,72748,116,"444.8",2,"I",0
66915,72748,117,"34.4",2,"I",0
120312,102478,10,"57",2,"I",0
120313,102478,880,"5.7",2,"I",0
120314,102478,305,"8.7",2,"I",0
120315,102478,15,"17.4",2,"I",0
120316,102478,413,"38.5",2,"I",0
120317,102478,1167,"76.1",2,"I",0
120318,102478,28,"88.5",2,"I",0
120319,102478,1163,"154.3",2,"I",0
120320,102478,6931,"186.5",2,"I",0
190614,135042,10,"94.0961581238679",2,"I",0
190615,135042,15,"481.031618418126",2,"I",0
190616,135042,25,"441.272223458006",2,"I",0
256010,147104,10,"83.4827271514343",2,"I",0
256011,147104,369,"3.2263855903936",2,"I",0
256012,147104,880,"12.7038932621748",2,"I",0
256013,147104,1167,"46.5809419613075",2,"I",0
256014,147104,494,"47.7908365577051",2,"I",0
256015,147104,25,"44.1359466310874",2,"I",0
256016,147104,293,"111.612776517678",2,"I",0
256017,147104,341,"116.956477651768",2,"I",0
256018,147104,337,"191.26417078052",2,"I",0
256213,147138,10,"92.5660487380792",2,"I",0
256214,147138,25,"9.62226080226462",2,"I",0
256215,147138,338,"13.42408066115",2,"I",0
256216,147138,387,"55.4995573602769",2,"I",0
256217,147138,1162,"57.6033311952333",2,"I",0
256218,147138,340,"114.505404445481",2,"I",0
256219,147138,413,"240.932193955715",2,"I",0
256220,147138,1174,"248.746211056981",2,"I",0
256221,147139,10,"94.0961581238679",2,"I",0
256251,147139,15,"481.031618418126",2,"I",0
256252,147139,25,"441.272223458006",2,"I",0
256278,147144,10,"74.9673356559858",2,"I",0
256279,147144,341,"12.8834257487283",2,"I",0
256280,147144,1165,"14.6079788017076",2,"I",0
256281,147144,6931,"57.2145836400216",2,"I",0
256282,147144,25,"76.1390172890394",2,"I",0
256283,147144,1386,"104.690514745571",2,"I",0
256284,147144,387,"133.094917971114",2,"I",0
256285,147144,1174,"143.949457775161",2,"I",0
256286,147144,338,"144.761012153033",2,"I",0
256287,147144,1163,"156.224217740484",2,"I",0
256288,147144,117,"11.7675384791534",2,"I",0
275408,151135,10,"89.7",2,"I",0
275409,151135,413,"1.7",2,"I",0
275410,151135,1162,"1.7",2,"I",0
275411,151135,1386,"6.8",2,"I",0
275412,151135,906,"13.7",2,"I",0
275413,151135,6931,"14.4",2,"I",0
275414,151135,24,"137",2,"I",0
275415,151135,25,"619",2,"I",0
275416,151135,117,"45.9",2,"I",0
503524,72670,293,"524.4",2,"I",0
503545,147104,342,"286.845843895931",2,"I",0
503765,147138,117,"112.000911784819",2,"I",0
503818,102478,338,"300",2,"I",0
505511,72705,117,"44.6",2,"I",0
506128,72720,117,"20.5",2,"I",0
516120,72322,10,"90",2,"I",0
516121,72322,906,"20.5",2,"I",0
516122,72322,24,"24.6",2,"I",0
516123,72322,341,"79.4",2,"I",0
516124,72322,92,"53.2",2,"I",0
516125,72322,337,"241.7",2,"I",0
516126,72322,293,"383.5",2,"I",0
516127,72322,117,"43.8",2,"I",0
516134,72324,10,"84.3",2,"I",0
516135,72324,341,"30.6",2,"I",0
516136,72324,906,"69.7",2,"I",0
516137,72324,115,"56.8",2,"I",0
516138,72324,92,"45.9",2,"I",0
516139,72324,337,"236.6",2,"I",0
516140,72324,342,"419.6",2,"I",0
521231,72366,10,"85.1",2,"I",0
521232,72366,14,"14",2,"I",0
521233,72366,32,"59.4",2,"I",0
521234,72366,41,"73.7",2,"I",0
521235,72366,15,"846.8",2,"I",0
521270,93687,6912,"0.4",2,"I",0
521271,93687,6898,"4.8",2,"I",0
521272,93687,6905,"4.3",2,"I",0
521273,93687,6894,"1069.6",2,"I",0
521303,18292,6905,"13.85",2,"I",0
521304,18292,6912,"25.72",2,"I",0
521305,18292,6898,"9.6",2,"I",0
521306,18292,6894,"1044.03",2,"I",0
521322,72367,10,"87.4",2,"I",0
521323,72367,14,"11.2",2,"I",0
521324,72367,27,"20.8",2,"I",0
521325,72367,41,"129.4",2,"I",0
521326,72367,15,"844.4",2,"I",0
521354,18293,6912,"2.46",2,"I",0
521355,18293,6905,"19.67",2,"I",0
521356,18293,6898,"8.44",2,"I",0
521357,18293,6894,"1055.93",2,"I",0
521373,72368,10,"89.6",2,"I",0
521374,72368,32,"32.5",2,"I",0
521375,72368,14,"15.6",2,"I",0
521376,72368,41,"111.5",2,"I",0
521377,72368,15,"837.3",2,"I",0
525218,72378,10,"87.4",2,"I",0
525219,72378,13,"1.9",2,"I",0
525220,72378,41,"5.5",2,"I",0
525221,72378,1385,"42.5",2,"I",0
525222,72378,340,"736.7",2,"I",0
525223,72378,117,"32.5",2,"I",0
525238,72380,10,"74.1",2,"I",0
525239,72380,14,"14.1",2,"I",0
525240,72380,62,"23.7",2,"I",0
525241,72380,41,"166.1",2,"I",0
525242,72380,15,"800",2,"I",0
525253,72379,10,"87.4",2,"I",0
525254,72379,906,"9.4",2,"I",0
525255,72379,1385,"104.4",2,"I",0
525256,72379,340,"670.9",2,"I",0
525257,72379,117,"41.1",2,"I",0
525268,72381,10,"85.6",2,"I",0
525269,72381,62,"42.7",2,"I",0
525270,72381,41,"171.1",2,"I",0
525271,72381,15,"785",2,"I",0
551311,18358,6903,"33.28",2,"I",0
551312,18358,6898,"7.31",2,"I",0
551313,18358,6912,"8.37",2,"I",0
551314,18358,6894,"1024.34",2,"I",0
551332,72489,10,"86.7",2,"I",0
551333,72489,13,"24.9",2,"I",0
551334,72489,41,"91.1",2,"I",0
551335,72489,32,"104.3",2,"I",0
551336,72489,15,"766.3",2,"I",0
551483,18362,6896,"14.51",2,"I",0
551484,18362,6903,"28.9",2,"I",0
551485,18362,6898,"5.21",2,"I",0
551486,18362,6894,"1050.18",2,"I",0
551492,72493,10,"90",2,"I",0
551493,72493,62,"12.4",2,"I",0
551494,72493,13,"24.7",2,"I",0
551495,72493,41,"74.2",2,"I",0
551496,72493,15,"897.5",2,"I",0
