"id_formula","id_formulaX","id_formulaY","formulaImgPath","otherPrice","id_otherCurreny","id_otherUnit","type","id_car","version","name_formula","c_year","variant","duplicate","colorCode","colorRGB","clientName","cardNumber","seqnum","state","id_formulaZ","id_formulaZp","id_formulaZ2p","id_formulaXp","id_formulaX2p","id_formulaYp","id_formulaY2p","isEquation15perc4201","converted","Date_cre_mod","noEquation4201_180","colorRGBPerc","code_formulaX","code_formulaXp","code_formulaXpp","code_formulaY","code_formulaYp","code_formulaYpp","code_formulaZ","code_formulaZp","code_formulaZpp"
18559,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",62,"S1","WHITE","1977 - 1989","","0","001","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18560,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",62,"S1","WHITE AROSA","1971 - 1989","","0","002","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18561,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",62,"S1","WHITE CAMEO","1971 - 1972","","0","004","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18562,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",62,"S1","CYGNUS WHITE","1972 - 1975","","0","012","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18563,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",62,"S1","WHITE","1977 - 1981","","0","031","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18564,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",62,"S3","WHITE","1977 - 1981","D+Y","0","031","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18565,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",62,"S1","SANMORITZ WHITE","1977 - 1992","","0","033","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18566,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",62,"S1","SUPER WHITE","1982 - 1985","","0","035","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18567,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",62,"S2","SUPER WHITE","1982 - 1985","B","0","035","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18568,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",62,"S3","SUPER WHITE","1982 - 1985","G","0","035","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
