"id_formula","id_formulaX","id_formulaY","formulaImgPath","otherPrice","id_otherCurreny","id_otherUnit","type","id_car","version","name_formula","c_year","variant","duplicate","colorCode","colorRGB","clientName","cardNumber","seqnum","state","id_formulaZ","id_formulaZp","id_formulaZ2p","id_formulaXp","id_formulaX2p","id_formulaYp","id_formulaY2p","isEquation15perc4201","converted","Date_cre_mod","noEquation4201_180","colorRGBPerc","code_formulaX","code_formulaXp","code_formulaXpp","code_formulaY","code_formulaYp","code_formulaYpp","code_formulaZ","code_formulaZp","code_formulaZpp"
19353,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",63,"S1","DIAMOND WHITE","1998 - 2008","","0","061","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
19354,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",63,"S1","AZTEC RED (Couche)","1994 - 1995","","0","3CA","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
19356,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",63,"S1","CRIMSON RED","1998 - 1998","","0","3N9","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
19357,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",63,"S1","RED","2009 - 2009","","0","3Q6","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
19358,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",63,"S1","CENTRE RED","1980 - 1987","","0","JC","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
19359,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",63,"S1","MARANELLO RED","1981 - 1997","","0","LS","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
19360,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",63,"S1","DIAMOND WHITE","1994 - 2008","","0","OKA","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
19361,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",63,"S1","SCARLET RED (Couche)","1993 - 1997","","0","PF","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
19363,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",63,"S1","ALASKAN WHITE","1989 - 1997","","0","PK","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
75962,-1,-1,"0                                                                                                   ",0.00,0,0,"BC",63,"S1","DIAMOND WHITE","1998 - 2008","","0","061","-3623538","","",0,"0",,,,,,,,,"1",,,"-1401344:53.88;-13092808:46.12;",,,,,,,,,
75963,-1,-1,"0                                                                                                   ",0.00,0,0,"BC",63,"S1","CRYSTAL PEARL (Couche)","2009 - 2009","","0","070","-3638666","","",0,"0",,,,,,,,,"1",,,"-1447445:99.85;-5895422:0.15;",,,,,,,,,
75964,-1,-1,"0                                                                                                   ",0.00,0,0,"BC",63,"S1*","CRYSTAL PEARL (Sous-Couche)","2009 - 2009","","0","070","-2044240","","",0,"0",,,,,,,,,"1",,,"-1:91.96;-4227838:0.84;-4144960:7.2;",,,,,,,,,
75969,-1,-1,"0                                                                                                   ",0.00,0,0,"BC",63,"S1","SILVER OPAL PEARL","1990 - 1992","","0","189","-4013890","","",0,"0",,,,,,,,,"1",,,"-4144960:46.21;-2368549:40.61;-16777216:3.03;-1907998:8.12;-16761826:0.48;-3775744:1;-16777152:0.55;",,,,,,,,,
75972,-1,-1,"0                                                                                                   ",0.00,0,0,"BC",63,"S1","SILVER MET","1993 -","","0","199","-3943453","","",0,"0",,,,,,,,,"1",,,"-16744193:2.13;-2368549:38.44;-2368549:41.4;-1907998:18.04;",,,,,,,,,
75975,-1,-1,"0                                                                                                   ",0.00,0,0,"BC",63,"S1","WARM GREY PEARL","1995 -","","0","1A5","-2040356","","",0,"0",,,,,,,,,"1",,,"-1315861:75.28;-1907998:5.8;-4408132:8.88;-9890257:0.66;-3775744:3.72;-1:5.65;",,,,,,,,,
75976,-1,-1,"0                                                                                                   ",0.00,0,0,"BC",63,"S1","YELLOW SILVER MET","1995 -","","0","1A9","-3092016","","",0,"0",,,,,,,,,"1",,,"-2368549:62.42;-13691136:2.06;-1907998:15.61;-4408132:11.21;-460552:8.71;",,,,,,,,,
75986,-1,-1,"0                                                                                                   ",0.00,0,0,"BC",63,"S1","CRYSTAL SILVER PEARL","1998 - 1998","","0","1C1","-2040101","","",0,"0",,,,,,,,,"1",,,"-2236963:30.84;-3775744:0.8;-2368549:12.98;-1:12.7;-7981310:0.6;-1315861:42.08;",,,,,,,,,
75987,-1,-1,"0                                                                                                   ",0.00,0,0,"BC",63,"S1","SILVER ASH","2006 - 2008","","0","1D4","-2698028","","",0,"0",,,,,,,,,"1",,,"-2236963:40.16;-3775744:1.42;-16777152:2.14;-16777216:12.45;-460552:7.3;-1907998:36.52;",,,,,,,,,
75988,-1,-1,"0                                                                                                   ",0.00,0,0,"BC",63,"S2","SILVER ASH","2006 - 2008","CO","0","1D4","-5262153","","",0,"0",,,,,,,,,"1",,,"-460552:0.99;-1907998:98.78;-16767426:0.22;",,,,,,,,,
75990,-1,-1,"0                                                                                                   ",0.00,0,0,"BC",63,"S4","SILVER ASH","2006 - 2008","CO+DRT","0","1D4","-10064264","","",0,"0",,,,,,,,,"1",,,"-3775744:0.71;-4144960:4.93;-1907998:85.79;-460552:3.78;-16771281:0.25;-16777216:4.54;",,,,,,,,,
75992,-1,-1,"0                                                                                                   ",0.00,0,0,"BC",63,"S6","SILVER ASH","2006 - 2008","L+B","0","1D4","-9998216","","",0,"0",,,,,,,,,"1",,,"-16777216:4.5;-1907998:78.91;-4144960:8.26;-460552:4.61;-1401344:3.72;",,,,,,,,,
75994,-1,-1,"0                                                                                                   ",0.00,0,0,"BC",63,"S1","ALPINE MIST MET","2001 - 2003","","0","1E1","-4803405","","",0,"0",,,,,,,,,"1",,,"-16777216:62.12;-460552:1.89;-1907998:6.1;-9890257:2.63;-2368549:24.41;-13691136:2.85;",,,,,,,,,
