"id_formulaColor","id_formula","id_color","quantite","id_unit","state","encrypted"
72442,75639,10,"85.9",2,"I",0
72443,75639,27,"4.7",2,"I",0
72444,75639,24,"3.6",2,"I",0
72445,75639,115,"102.6",2,"I",0
72446,75639,116,"655.7",2,"I",0
72447,75639,117,"68.7",2,"I",0
239288,142938,10,"82.0609037328094",2,"I",0
239289,142938,1163,"6.31237721021611",2,"I",0
239290,142938,15,"6.31237721021611",2,"I",0
239291,142938,25,"10.390373280943",2,"I",0
239292,142938,369,"38.5756385068762",2,"I",0
239293,142938,880,"41.3811394891945",2,"I",0
239294,142938,387,"84.565815324165",2,"I",0
239295,142938,836,"112.821218074656",2,"I",0
239296,142938,116,"114.023575638507",2,"I",0
239297,142938,28,"166.125736738703",2,"I",0
239298,142938,1385,"195.182711198428",2,"I",0
239299,142939,10,"87.7670801884486",2,"I",0
239300,142939,25,"9.96396817892832",2,"I",0
239301,142939,115,"15.7299447369708",2,"I",0
239302,142939,1163,"32.6621782436464",2,"I",0
239303,142939,880,"32.6621782436464",2,"I",0
239304,142939,1386,"56.1068092528895",2,"I",0
239305,142939,387,"89.470322612197",2,"I",0
239306,142939,28,"167.218329719772",2,"I",0
239307,142939,836,"417.594966010792",2,"I",0
239308,142939,117,"12.7242228127089",2,"I",0
239317,142941,10,"72.9177234452673",2,"I",0
239318,142941,465,"11.0961753068885",2,"I",0
239319,142941,413,"27.0535321767948",2,"I",0
239320,142941,28,"48.5061377701126",2,"I",0
239321,142941,116,"53.472997193196",2,"I",0
239322,142941,1163,"54.0013864935241",2,"I",0
239323,142941,369,"59.9193466571979",2,"I",0
239324,142941,1165,"73.5517906056609",2,"I",0
239325,142941,340,"196.349464001894",2,"I",0
239326,142941,25,"301.636315985256",2,"I",0
239327,142941,117,"38.9951303642082",2,"I",0
239328,142943,10,"90.6607235297002",2,"I",0
239329,142943,465,"3.50234583172131",2,"I",0
239330,142943,25,"3.48733577815679",2,"I",0
239435,142943,27,"6.2041554733349",2,"I",0
239436,142943,836,"17.3115951110796",2,"I",0
239437,142943,880,"34.6231902221592",2,"I",0
239438,142943,1163,"34.6231902221592",2,"I",0
239439,142943,1174,"53.2356566421639",2,"I",0
279185,151612,10,"65.3",2,"I",0
279186,151612,369,"13.7",2,"I",0
279187,151612,15,"35.9",2,"I",0
279188,151612,1165,"41.9",2,"I",0
279189,151612,1385,"93.5",2,"I",0
279190,151612,1163,"137.1",2,"I",0
279191,151612,28,"229.1",2,"I",0
279192,151612,338,"298.7",2,"I",0
279193,151612,117,"34.9",2,"I",0
279408,151620,10,"59.7",2,"I",0
279409,151620,880,"3",2,"I",0
279410,151620,1163,"10.5",2,"I",0
279411,151620,387,"10.9",2,"I",0
279412,151620,25,"18.9",2,"I",0
279413,151620,338,"400.1",2,"I",0
279414,151620,1167,"405.3",2,"I",0
279415,151620,117,"27.6",2,"I",0
323108,219897,10,"90.1",2,"I",0
323109,219897,465,"5.1",2,"I",0
323110,219897,24,"5.5",2,"I",0
323111,219897,1163,"7.1",2,"I",0
323112,219897,25,"13",2,"I",0
323221,219897,115,"51.2",2,"I",0
323222,219897,338,"686.6",2,"I",0
323223,219897,117,"70",2,"I",0
323519,219964,6894,"48.9",2,"I",0
323520,219964,6922,"170.6",2,"I",0
323521,219964,6907,"706.3",2,"I",0
325559,75614,10,"87.9",2,"I",0
325560,75614,880,"17.2",2,"I",0
325561,75614,15,"27.3",2,"I",0
325562,75614,6931,"33.4",2,"I",0
325563,75614,92,"36.4",2,"I",0
325564,75614,387,"81.9",2,"I",0
325565,75614,25,"101.1",2,"I",0
325566,75614,338,"473.1",2,"I",0
325567,75614,28,"50.5",2,"I",0
325568,75624,10,"79",2,"I",0
