"id_formula","id_formulaX","id_formulaY","formulaImgPath","otherPrice","id_otherCurreny","id_otherUnit","type","id_car","version","name_formula","c_year","variant","duplicate","colorCode","colorRGB","clientName","cardNumber","seqnum","state","id_formulaZ","id_formulaZp","id_formulaZ2p","id_formulaXp","id_formulaX2p","id_formulaYp","id_formulaY2p","isEquation15perc4201","converted","Date_cre_mod","noEquation4201_180","colorRGBPerc","code_formulaX","code_formulaXp","code_formulaXpp","code_formulaY","code_formulaYp","code_formulaYpp","code_formulaZ","code_formulaZp","code_formulaZpp"
19364,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",64,"S1","CARGO YELLOW (Couche)","2000 - 2016","","0","01U","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
19366,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",64,"S1","FIFTIES GREEN","2000 - 2002","","0","02L - 386-86U","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
19367,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",64,"S2","FIFTIES GREEN","2000 - 2002","B","0","02L - 386-86U","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
19368,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",64,"S1","CARBON BLACK","1994 - 2000","","0","07L - 280","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
19369,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",64,"S2","CARBON BLACK","1994 - 2000","Y","0","07L - 280","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
19370,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",64,"S3","CARBON BLACK","1994 - 2000","R","0","07L - 280","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
19371,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",64,"S1","AIRCRAFT BLUE","1997 - 2013","","0","0QT - 37U/682/18U","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
19372,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",64,"S1","GLACIER WHITE","1988 - 2005","","0","10L - 474/10U","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
19373,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",64,"S10","GLACIER WHITE","1988 - 2005","L+Y","0","10L - 474/10U","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
19374,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",64,"S2","GLACIER WHITE","1988 - 2005","R","0","10L - 474/10U","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
