"id_formulaColor","id_formula","id_color","quantite","id_unit","state","encrypted"
22996,19973,6903,"33.28",2,"I",0
22997,19973,6898,"7.31",2,"I",0
22998,19973,6912,"8.37",2,"I",0
22999,19973,6894,"1024.34",2,"I",0
23008,19977,6896,"14.51",2,"I",0
23009,19977,6903,"28.9",2,"I",0
23010,19977,6898,"5.21",2,"I",0
23011,19977,6894,"1050.18",2,"I",0
75631,77420,10,"86.6",2,"I",0
75632,77420,32,"14.3",2,"I",0
75633,77420,24,"24.2",2,"I",0
75634,77420,1385,"218.8",2,"I",0
75635,77420,780,"239.5",2,"I",0
75636,77420,338,"316.3",2,"I",0
75637,77420,117,"44.6",2,"I",0
75638,77421,10,"70.6",2,"I",0
75639,77421,27,"2.2",2,"I",0
75640,77421,115,"45.1",2,"I",0
75641,77421,41,"80.8",2,"I",0
75642,77421,116,"645.9",2,"I",0
75766,77498,10,"80.4",2,"I",0
75767,77498,24,"16.2",2,"I",0
75768,77498,28,"418.8",2,"I",0
75769,77498,338,"361",2,"I",0
75783,77498,117,"43.5",2,"I",0
75784,77499,10,"84.4",2,"I",0
75785,77499,24,"9.7",2,"I",0
75786,77499,27,"10.4",2,"I",0
75787,77499,13,"29",2,"I",0
75788,77499,115,"11.8",2,"I",0
75789,77499,28,"358.6",2,"I",0
75790,77499,116,"375.4",2,"I",0
75791,77500,10,"87.4",2,"I",0
75792,77500,24,"9.3",2,"I",0
75793,77500,27,"14.1",2,"I",0
75794,77500,338,"368.6",2,"I",0
75795,77500,28,"390.8",2,"I",0
75796,77500,117,"55.2",2,"I",0
75797,77506,10,"86.7",2,"I",0
75798,77506,13,"24.9",2,"I",0
75799,77506,41,"91.1",2,"I",0
75800,77506,32,"104.3",2,"I",0
75801,77506,15,"766.3",2,"I",0
75811,77510,10,"90",2,"I",0
75812,77510,62,"12.4",2,"I",0
75813,77510,13,"24.7",2,"I",0
75814,77510,41,"74.2",2,"I",0
75815,77510,15,"897.5",2,"I",0
96435,93893,10,"85",2,"I",0
96436,93893,1386,"7.1",2,"I",0
96437,93893,14,"14.3",2,"I",0
96438,93893,32,"16.8",2,"I",0
96439,93893,1385,"170.8",2,"I",0
96440,93890,10,"87.4",2,"I",0
96441,93890,24,"3.7",2,"I",0
96442,93890,62,"17.7",2,"I",0
96443,93890,15,"1023.6",2,"I",0
96444,93896,10,"87.7",2,"I",0
96445,93896,14,"10.1",2,"I",0
96446,93896,62,"18.7",2,"I",0
96447,93896,41,"147.9",2,"I",0
96448,93896,15,"821.3",2,"I",0
96518,93899,10,"87.4",2,"I",0
96519,93899,14,"2.7",2,"I",0
96520,93899,1385,"159.2",2,"I",0
96521,93899,340,"611.1",2,"I",0
96522,93899,117,"58",2,"I",0
96523,93905,10,"87.4",2,"I",0
96524,93905,1385,"73.1",2,"I",0
96525,93905,1386,"206",2,"I",0
96526,93905,340,"468.2",2,"I",0
96527,93902,10,"87.5",2,"I",0
96528,93902,14,"37",2,"I",0
96529,93902,62,"61.9",2,"I",0
96530,93902,41,"145.9",2,"I",0
96531,93902,15,"742.1",2,"I",0
234418,141478,10,"90.9048945783133",2,"I",0
234419,141478,25,"11.9268825301205",2,"I",0
234420,141478,27,"42.1951054216868",2,"I",0
234421,141478,24,"43.3978162650602",2,"I",0
234422,141478,338,"69.4565512048193",2,"I",0
234423,141478,880,"116.963629518072",2,"I",0
234424,141478,116,"546.030722891566",2,"I",0
234425,141484,10,"89.2223604491478",2,"I",0
234426,141484,305,"0.801098634784716",2,"I",0
234427,141484,312,"1.30178528152516",2,"I",0
234428,141484,25,"7.23492204539947",2,"I",0
234429,141484,24,"26.4362549478956",2,"I",0
234430,141484,27,"30.6420227805154",2,"I",0
234431,141484,880,"81.6119234186929",2,"I",0
234432,141484,115,"100.738153324178",2,"I",0
234433,141484,338,"107.94804103724",2,"I",0
234434,141484,116,"483.76343808062",2,"I",0
234535,141490,10,"89.6828124002638",2,"I",0
