"id_formula","id_formulaX","id_formulaY","formulaImgPath","otherPrice","id_otherCurreny","id_otherUnit","type","id_car","version","name_formula","c_year","variant","duplicate","colorCode","colorRGB","clientName","cardNumber","seqnum","state","id_formulaZ","id_formulaZp","id_formulaZ2p","id_formulaXp","id_formulaX2p","id_formulaYp","id_formulaY2p","isEquation15perc4201","converted","Date_cre_mod","noEquation4201_180","colorRGBPerc","code_formulaX","code_formulaXp","code_formulaXpp","code_formulaY","code_formulaYp","code_formulaYpp","code_formulaZ","code_formulaZp","code_formulaZpp"
19988,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",65,"S1","BLACK STONE","1958 - 2018","","0","019","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
19989,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",65,"S2","BLACK STONE","1958 - 2018","L","0","019","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
19990,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",65,"S1","BLACK","1958 - 1989","","0","040","0","","",1,"U",,,,,,,,,"1",,,,,,,,,,,,
19991,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",65,"S1","RED","1970 - 1974","","0","046","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
19992,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",65,"S1","ORANGE","2008 - 2008","","0","08355","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
19993,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",65,"S1","WEINROT (Couche)","1969 - 1973","","0","103","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
19995,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",65,"S1","SONNENGELB","1971 - 1975","","0","107","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
19996,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",65,"S1","SAFIRBLA","1971 - 1975","","0","108","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
19997,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",65,"S1","OZEANGRUEN","1971 - 1973","","0","109","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
19998,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",65,"S1","DUNKELGRUEN","1971 - 1975","","0","110","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
