"id_color","colorImgPath","defaultPrice","id_defaultCurreny","id_defaultUnit","colorCode","name_color","masse_volumique","state","seqnum","id_unit_on_entry","name_color_alternative","masse_volumique_ext","argb","name_color_alternative2"
10,"4101.jpg                                                                                            ",0.00,2,1,"4002","BC 4002  Diluant",0.92,"U",22,3,"",0.92,"0,255,255,255","BC 002  Diluant"
11,"4051.jpg                                                                                            ",0.00,2,1,"4051","BC 4051  Light Green",0.98,"U",21,5,"",0.98,"255,0,60,30","BC 051  Light Green"
13,"4940.jpg                                                                                            ",0.00,2,1,"4940","BC 4940  Clear Light Blue",0.96,"U",20,5,"",0.95,"255,0,128,255","BC 940  Clear Light Blue"
14,"4980.jpg                                                                                            ",0.00,2,1,"4980","BC 4980  Clear Red Oxide",0.97,"U",22,5,"",0.97,"255,128,0,0","BC 980  Clear Red Oxide"
15,"4019.jpg                                                                                            ",0.00,2,1,"4019","BC 4019  White",1.13,"U",20,4,"",1.06,"255,255,255,255","BC 019  White"
23,"4061.jpg                                                                                            ",0.00,2,1,"4061","BC 4061  Lemon Green",0.95,"U",20,5,"",0.95,"255,77,85,43","BC 061  Lemon Green"
24,"4025.jpg                                                                                            ",0.00,2,1,"4025","BC 4025  Mixing black",0.97,"U",18,4,"",0.96,"255,0,0,0","BC 025  Mixing black"
25,"4020.jpg                                                                                            ",0.00,2,1,"4201","BC 4201  Deep Black",0.96,"U",17,4,"",0.96,"255,0,0,0","BC 201  Deep Black"
26,"4081.jpg                                                                                            ",0.00,2,1,"4081","BC 4081  Orange",1.04,"U",17,5,"",1.02,"255,255,15,15","BC 081  Orange"
27,"4060.jpg                                                                                            ",0.00,2,1,"4060","BC 4060  Yellow Gold",1.03,"U",17,5,"",1.01,"255,198,99,0","BC 060  Yellow Gold"
28,"4014.jpg                                                                                            ",0.00,2,1,"4014","BC 4014  Aluminum Fine",0.97,"U",19,4,"",0.96,"255,192,192,192","BC 014  Aluminum Fine"
32,"4960.jpg                                                                                            ",0.00,2,1,"4960","BC 4960  Clear Yellow Gold",0.97,"U",16,5,"",0.96,"255,234,158,0","BC 960  Clear Yellow Gold"
41,"4920.jpg                                                                                            ",0.00,2,1,"4920","BC 4920  Clear Black",0.96,"U",16,5,"",0.96,"255,56,56,56","BC 920  Clear Black"
62,"4560.jpg                                                                                            ",0.00,2,1,"4560","BC 4560  Yellow Oxide",1.01,"U",17,5,"",0.99,"255,191,125,2","BC 560  Yellow Oxide"
92,"4580.jpg                                                                                            ",0.00,2,1,"4580","BC 4580  Red Oxide",1.03,"U",16,5,"",1.00,"255,134,55,2","BC 580  Red Oxide"
115,"4510.jpg                                                                                            ",0.00,2,1,"4510","BC 4510  Clear White",0.97,"U",16,4,"",0.96,"255,248,248,248","BC 510  Clear White"
116,"4017.jpg                                                                                            ",0.00,2,1,"4017","BC 4017  Medium Aluminum",0.97,"U",17,4,"",0.96,"255,219,219,219","BC 017  Medium Aluminum"
117,"4101.jpg                                                                                            ",0.00,2,1,"4110","BC 4110  Flop Additive",0.98,"U",15,5,"",0.99,"0,255,255,255","BC 110  Flop Additive"
293,"4283.jpg                                                                                            ",0.00,2,1,"4283","BC 4283  Red Yellow",0.95,"U",16,5,"",0.96,"255,129,10,43","BC 283  Red Yellow"
294,"4070.jpg                                                                                            ",0.00,2,1,"4070","BC 4070  Light Orange",1.11,"U",18,5,"",1.07,"255,255,9,9","BC 070  Light Orange"
305,"4561.jpg                                                                                            ",0.00,2,1,"4561","BC 4561  Yellow Stars",1.18,"U",17,5,"",1.13,"255,255,255,21","BC 561  Yellow Stars"
312,"4561.jpg                                                                                            ",0.00,2,1,"4063","BC 4063  Amazon Yellow",1.08,"U",16,5,"",0.99,"255,252,223,20","BC 063  Amazon Yellow"
336,"4508.jpg                                                                                            ",0.00,2,1,"4508","CB 4508  Crystal Red Rose",1.28,"U",22,5,"BC 4985 Red Rose Pearl",1.02,"255,232,221,231","BC 985 Red Rose Pearl"
337,"4511.jpg                                                                                            ",0.00,2,1,"4511","BC 4511  Red Wine Pearl",1.04,"U",15,5,"",0.97,"255,185,0,0","BC 511  Red Wine Pearl"
338,"4117.jpg                                                                                            ",0.00,2,1,"4117","BC 4117  Super Medium Aluminum",0.98,"U",16,4,"",0.96,"255,219,219,219","BC 117  Super Medium Aluminum"
340,"4101.jpg                                                                                            ",0.00,2,1,"4010","BC 4010  Clear",0.96,"U",14,4,"",0.97,"0,255,255,255","BC 010  Clear"
341,"4188.jpg                                                                                            ",0.00,2,1,"4188","BC 4188  Magenta",0.95,"U",15,5,"",0.96,"255,64,0,0","BC 188  Magenta"
342,"4082.jpg                                                                                            ",0.00,2,1,"4082","BC 4082  Red Brown",1.00,"U",15,5,"",0.99,"255,60,0,0","BC 082  Red Brown"
369,"4047.jpg                                                                                            ",0.00,2,1,"4047","BC 4047  Reddish Blue",0.96,"U",15,5,"",0.95,"255,0,0,64","BC 047  Reddish Blue"
376,"144040.jpg                                                                                          ",0.00,2,1,"4040","BC 4040  Light Blue",0.97,"U",12,5,,,,
386,"4050.jpg                                                                                            ",0.00,2,1,"4050","BC 4050  Dark Green",0.98,"U",15,5,"",0.98,"255,0,47,0","BC 050  Dark Green"
387,"4030.jpg                                                                                            ",0.00,2,1,"4030","BC 4030  Violet",0.96,"U",16,5,"",0.96,"255,28,0,55","BC 030  Violet"
411,"4405.jpg                                                                                            ",0.00,2,1,"4405","CB 4405  Crystal Green",1.29,"U",20,5,"BC 4954 Green Pearl",1.03,"255,208,235,205","BC 954 Green Pearl"
413,"4811.jpg                                                                                            ",0.00,2,1,"4811","BC 4811  Blue Pearl",1.02,"U",15,5,"",0.96,"255,215,228,255","BC 811  Blue Pearl"
436,"4504.jpg                                                                                            ",0.00,2,1,"4504","CB 4504  Crystal Blue Green",1.27,"U",19,5,"XB 4504  Xirallic Blue Green",1.04,"255,162,221,191","XB 504  Xirallic Blue Green"
451,"4526.jpg                                                                                            ",0.00,2,1,"4526","BC 4526  Light Gold Pearl",1.00,"U",15,5,"",0.97,"255,245,244,188","BC 526  Light Gold Pearl"
455,"4080.jpg                                                                                            ",0.00,2,1,"4080","BC 4080  Red Gold",1.03,"U",16,5,"",1.01,"255,47,23,0","BC 080  Red Gold"
459,"4681.jpg                                                                                            ",0.00,2,1,"4681","BC 4681  Fire Red",0.98,"U",15,5,"",0.97,"255,198,0,0","BC 681  Fire Red"
463,"4074.jpg                                                                                            ",0.00,2,1,"4074","BC 4074  Dark Orange",1.02,"U",15,5,"",1.00,"255,216,66,1","BC 074  Dark Orange"
465,"4084.jpg                                                                                            ",0.00,2,1,"4084","BC 4084  Red Rose",0.96,"U",16,5,"",0.94,"255,105,22,47","BC 084  Red Rose"
492,"4308.jpg                                                                                            ",0.00,2,1,"4308","CB 4308  Crystal Red Hell",1.15,"U",20,5,"XB 4308  Xirallic Red Hell",1.02,"255,128,0,64","XB 308  Xirallic Red Hell"
494,"4581.jpg                                                                                            ",0.00,2,1,"4581","XB 4581  Xirallic Red",1.05,"U",18,5,"",0.98,"255,166,11,2","XB 581  Xirallic Red"
