"id_currencyLanguage","id_currency","id_language","label"
1,1,1,"Lebanese pounds                                   "
2,1,2,"Livres Libanais                                   "
3,2,1,"Dollars                                           "
4,2,2,"Dollars                                           "
227,3,1,"Yemen Rial	                                       "
228,3,2,"Yemen Rial	                                       "
229,4,1,"Albania Lek	                                      "
230,4,2,"Albania Lek	                                      "
231,5,1,"Afghanistan Afghani	                              "
232,5,2,"Afghanistan Afghani	                              "
233,6,1,"Argentina Peso	                                   "
234,6,2,"Argentina Peso	                                   "
235,7,1,"Aruba Guilder	                                    "
236,7,2,"Aruba Guilder	                                    "
237,8,1,"Australia Dollar	                                 "
238,8,2,"Australia Dollar	                                 "
239,9,1,"Azerbaijan New Manat	                             "
240,9,2,"Azerbaijan New Manat	                             "
241,10,1,"Bahamas Dollar	                                   "
242,10,2,"Bahamas Dollar	                                   "
243,11,1,"Barbados Dollar	                                  "
244,11,2,"Barbados Dollar	                                  "
245,12,1,"Belarus Ruble	                                    "
246,12,2,"Belarus Ruble	                                    "
247,13,1,"Belize Dollar	                                    "
248,13,2,"Belize Dollar	                                    "
249,14,1,"Bermuda Dollar	                                   "
250,14,2,"Bermuda Dollar	                                   "
251,15,1,"Bolivia Boliviano	                                "
252,15,2,"Bolivia Boliviano	                                "
253,16,1,"Bosnia and Herzegovina Convertible Marka	         "
254,16,2,"Bosnia and Herzegovina Convertible Marka	         "
255,17,1,"Botswana Pula	                                    "
256,17,2,"Botswana Pula	                                    "
257,18,1,"Bulgaria Lev	                                     "
258,18,2,"Bulgaria Lev	                                     "
259,19,1,"Brazil Real	                                      "
260,19,2,"Brazil Real	                                      "
261,20,1,"Brunei Darussalam Dollar	                         "
262,20,2,"Brunei Darussalam Dollar	                         "
263,21,1,"Cambodia Riel	                                    "
264,21,2,"Cambodia Riel	                                    "
265,22,1,"Canada Dollar	                                    "
266,22,2,"Canada Dollar	                                    "
267,23,1,"Cayman Islands Dollar	                            "
268,23,2,"Cayman Islands Dollar	                            "
269,24,1,"Chile Peso	                                       "
270,24,2,"Chile Peso	                                       "
271,25,1,"China Yuan Renminbi	                              "
272,25,2,"China Yuan Renminbi	                              "
273,26,1,"Colombia Peso	                                    "
274,26,2,"Colombia Peso	                                    "
275,27,1,"Costa Rica Colon	                                 "
276,27,2,"Costa Rica Colon	                                 "
277,28,1,"Croatia Kuna	                                     "
278,28,2,"Croatia Kuna	                                     "
279,29,1,"Cuba Peso	                                        "
280,29,2,"Cuba Peso	                                        "
281,30,1,"Czech Republic Koruna	                            "
282,30,2,"Czech Republic Koruna	                            "
283,31,1,"Denmark Krone	                                    "
284,31,2,"Denmark Krone	                                    "
285,32,1,"Dominican Republic Peso	                          "
286,32,2,"Dominican Republic Peso	                          "
287,33,1,"East Caribbean Dollar	                            "
288,33,2,"East Caribbean Dollar	                            "
289,34,1,"Egypt Pound	                                      "
290,34,2,"Egypt Pound	                                      "
291,35,1,"El Salvador Colon	                                "
292,35,2,"El Salvador Colon	                                "
293,36,1,"Estonia Kroon	                                    "
294,36,2,"Estonia Kroon	                                    "
295,37,1,"Euro Member Countries	                            "
296,37,2,"Euro Member Countries	                            "
297,38,1,"Falkland Islands (Malvinas) Pound	                "
298,38,2,"Falkland Islands (Malvinas) Pound	                "
299,39,1,"Fiji Dollar	                                      "
300,39,2,"Fiji Dollar	                                      "
301,40,1,"Ghana Cedis	                                      "
302,40,2,"Ghana Cedis	                                      "
303,41,1,"Gibraltar Pound	                                  "
304,41,2,"Gibraltar Pound	                                  "
305,42,1,"Guatemala Quetzal	                                "
306,42,2,"Guatemala Quetzal	                                "
307,43,1,"Guernsey Pound	                                   "
308,43,2,"Guernsey Pound	                                   "
309,44,1,"Guyana Dollar	                                    "
310,44,2,"Guyana Dollar	                                    "
311,45,1,"Honduras Lempira	                                 "
312,45,2,"Honduras Lempira	                                 "
313,46,1,"Hong Kong Dollar	                                 "
314,46,2,"Hong Kong Dollar	                                 "
315,47,1,"Hungary Forint	                                   "
316,47,2,"Hungary Forint	                                   "
317,48,1,"Iceland Krona	                                    "
318,48,2,"Iceland Krona	                                    "
319,49,1,"India Rupee	                                      "
320,49,2,"India Rupee	                                      "
321,50,1,"Indonesia Rupiah	                                 "
322,50,2,"Indonesia Rupiah	                                 "
323,51,1,"Iran Rial	                                        "
324,51,2,"Iran Rial	                                        "
325,52,1,"Isle of Man Pound	                                "
326,52,2,"Isle of Man Pound	                                "
327,53,1,"Israel Shekel	                                    "
328,53,2,"Israel Shekel	                                    "
329,54,1,"Jamaica Dollar	                                   "
330,54,2,"Jamaica Dollar	                                   "
331,55,1,"Japan Yen	                                        "
332,55,2,"Japan Yen	                                        "
333,56,1,"Jersey Pound	                                     "
334,56,2,"Jersey Pound	                                     "
335,57,1,"Kazakhstan Tenge	                                 "
336,57,2,"Kazakhstan Tenge	                                 "
337,58,1,"Korea (North) Won	                                "
338,58,2,"Korea (North) Won	                                "
339,59,1,"Korea (South) Won	                                "
340,59,2,"Korea (South) Won	                                "
341,60,1,"Kyrgyzstan Som	                                   "
342,60,2,"Kyrgyzstan Som	                                   "
343,61,1,"Laos Kip	                                         "
344,61,2,"Laos Kip	                                         "
345,62,1,"Latvia Lat	                                       "
346,62,2,"Latvia Lat	                                       "
347,63,1,"Liberia Dollar	                                   "
348,63,2,"Liberia Dollar	                                   "
349,64,1,"Lithuania Litas	                                  "
350,64,2,"Lithuania Litas	                                  "
351,65,1,"Macedonia Denar	                                  "
352,65,2,"Macedonia Denar	                                  "
353,66,1,"Malaysia Ringgit	                                 "
354,66,2,"Malaysia Ringgit	                                 "
355,67,1,"Mauritius Rupee	                                  "
356,67,2,"Mauritius Rupee	                                  "
357,68,1,"Mexico Peso	                                      "
358,68,2,"Mexico Peso	                                      "
359,69,1,"Mongolia Tughrik	                                 "
360,69,2,"Mongolia Tughrik	                                 "
361,70,1,"Mozambique Metical	                               "
362,70,2,"Mozambique Metical	                               "
363,71,1,"Namibia Dollar	                                   "
364,71,2,"Namibia Dollar	                                   "
365,72,1,"Nepal Rupee	                                      "
366,72,2,"Nepal Rupee	                                      "
367,73,1,"Netherlands Antilles Guilder	                     "
368,73,2,"Netherlands Antilles Guilder	                     "
369,74,1,"New Zealand Dollar	                               "
370,74,2,"New Zealand Dollar	                               "
371,75,1,"Nicaragua Cordoba	                                "
372,75,2,"Nicaragua Cordoba	                                "
373,76,1,"Nigeria Naira	                                    "
374,76,2,"Nigeria Naira	                                    "
375,78,1,"Norway Krone	                                     "
376,78,2,"Norway Krone	                                     "
377,79,1,"Oman Rial	                                        "
378,79,2,"Oman Rial	                                        "
379,80,1,"Pakistan Rupee	                                   "
380,80,2,"Pakistan Rupee	                                   "
381,81,1,"Panama Balboa	                                    "
382,81,2,"Panama Balboa	                                    "
383,82,1,"Paraguay Guarani	                                 "
384,82,2,"Paraguay Guarani	                                 "
385,83,1,"Peru Nuevo Sol	                                   "
386,83,2,"Peru Nuevo Sol	                                   "
387,84,1,"Philippines Peso	                                 "
388,84,2,"Philippines Peso	                                 "
389,85,1,"Poland Zloty	                                     "
390,85,2,"Poland Zloty	                                     "
391,86,1,"Qatar Riyal	                                      "
392,86,2,"Qatar Riyal	                                      "
393,87,1,"Romania New Leu	                                  "
394,87,2,"Romania New Leu	                                  "
395,88,1,"Russia Ruble	                                     "
396,88,2,"Russia Ruble	                                     "
397,89,1,"Saint Helena Pound	                               "
398,89,2,"Saint Helena Pound	                               "
399,90,1,"Saudi Arabia Riyal	                               "
400,90,2,"Saudi Arabia Riyal	                               "
401,91,1,"Serbia Dinar	                                     "
402,91,2,"Serbia Dinar	                                     "
