"id_garage","id_language","name_responsible","chosen","garage_name","location","logo","apply_equation","seqnum","state","Version","coat","showall","showAlternativeName","tel","key","public_tel","theme_color","key1","username"
7,1,"Miled","0","Laser Paints","","Laser Paints.jpg","1+True",12,"U","","LS",,"1","+9619218656","101500","+9619218656","0",,"Laser"
10,1,"","0","S.C.paints","","SC Paints.jpg","1+False",4,"U","","2K",,"0","+9619218656","102625","+9619218656","0",,"SC"
18,1,"Miled","0","Laser Paints","","Laser Paints.jpg","3+False",5,"U","","LS",,"0","+9619218656","101825","+9619218656","0",,"Laser"
21,1,"Miled","0","Alphalux Paints","","Alphalux Paints.jpg","1+False",7,"U","","LS",,"1","+9619218656","100100","+9619218656","0",,"Alphalux"
25,1,"Miled","0","Laser Paints","KSA - AFRICA","Laser Paints.jpg","4+True",6,"U","","LS",,"1","+9619218656","102125","+9619218656","0",,"Laser"
26,1,"Miled","0","Andy Paints","KSA - AFRICA","Andy Paints.jpg","4+True",6,"U","","LS",,"1","+9619218656","100850","+9619218656","0",,"Andy"
29,1,"Miled","0","Amazona Paints","","Amazona Paints.jpg","1+False",4,"U","","LS",,"1","+9619218656","100475","+9619218656","0",,"Amazona"
30,1,"Miled","0","Andy Paints","","Andy Paints.jpg","1+True",5,"U","","LS",,"1","+9619218656","100975","+9619218656","0",,"Andy"
32,1,"Miled","0","Starlux Paints","","Starlux.jpg","1+False",4,"U","","LS",,"1","+9619218656","102750","+9619218656","0",,"Starlux"
34,1,"Miled","0","Laser Paints","Not diluted","Laser Paints.jpg","0+False",5,"U","","LS",,"0","+9619218656","102250","+9619218656","0",,"Laser"
35,1,"Miled","0","King paints","","King Paints.jpg","1+False",4,"U","","LS",,"1","+9619218656","101350","+9619218656","0",,"King"
36,1,"","0","Mariner Paints","","Mariner Paints.jpg","1+False",3,"U","","LS",,"1","+9619218656","102500","+9619218656","0",,"Mariner"
37,1,"Miled","0","Laser Paints","Not diluted + 4201","Laser Paints.jpg","0+True",2,"U","","LS",,"0","+9619218656","103125","+9619218656","0",,"Laser"
38,1,"Miled","1","Adams Color","","Adams Color.jpg","1+True",3,"U","","LS",,"2","+9619218656","103000","+9619218656","0",,"Adams"
