"id_currency","code_currency","symbol","rateToDollar","chosen"
1,"LBP      ","	L.L.",1.00,"0"
2,"USD      ","	$",1.00,"1"
3,"YER      ","	?",1.00,"0"
4,"ALL      ","	Lek",1.00,"0"
5,"AFN      ","	?",1.00,"0"
6,"ARS      ","	$",1.00,"0"
7,"AWG      ","	ƒ",1.00,"0"
8,"AUD      ","	$",1.00,"0"
9,"AZN      ","	???",1.00,"0"
10,"BSD      ","	$",1.00,"0"
11,"BBD      ","	$",1.00,"0"
12,"BYR      ","	p.",1.00,"0"
13,"BZD      ","	BZ$",1.00,"0"
14,"BMD      ","	$",1.00,"0"
15,"BOB      ","	$b",1.00,"0"
16,"BAM      ","	KM",1.00,"0"
17,"BWP      ","	P",1.00,"0"
18,"BGN      ","	??",1.00,"0"
19,"BRL      ","	R$",1.00,"0"
20,"BND      ","	$",1.00,"0"
21,"KHR      ","	?",1.00,"0"
22,"CAD      ","	$",1.00,"0"
23,"KYD      ","	$",1.00,"0"
24,"CLP      ","	$",1.00,"0"
25,"CNY      ","	¥",1.00,"0"
26,"COP      ","	$",1.00,"0"
27,"CRC      ","	¢",1.00,"0"
28,"HRK      ","	kn",1.00,"0"
29,"CUP      ","	?",1.00,"0"
30,"CZK      ","	Kc",1.00,"0"
31,"DKK      ","	kr",1.00,"0"
32,"DOP      ","	RD$",1.00,"0"
33,"XCD      ","	$",1.00,"0"
34,"EGP      ","	£",1.00,"0"
35,"SVC      ","	$",1.00,"0"
36,"EEK      ","	kr",1.00,"0"
37,"EUR      ","	€",1.00,"0"
38,"FKP      ","	£",1.00,"0"
39,"FJD      ","	$",1.00,"0"
40,"GHC      ","	¢",1.00,"0"
41,"GIP      ","	£",1.00,"0"
42,"GTQ      ","	Q",1.00,"0"
43,"GGP      ","	£",1.00,"0"
44,"GYD      ","	$",1.00,"0"
45,"HNL      ","	L",1.00,"0"
46,"HKD      ","	$",1.00,"0"
47,"HUF      ","	Ft",1.00,"0"
48,"ISK      ","	kr",1.00,"0"
49,"INR      ","",1.00,"0"
50,"IDR      ","	Rp",1.00,"0"
51,"IRR      ","	?",1.00,"0"
52,"IMP      ","	£",1.00,"0"
53,"ILS      ","	?",1.00,"0"
54,"JMD      ","	J$",1.00,"0"
55,"JPY      ","	¥",1.00,"0"
56,"JEP      ","	£",1.00,"0"
57,"KZT      ","	??",1.00,"0"
58,"KPW      ","	?",1.00,"0"
59,"KRW      ","	?",1.00,"0"
60,"KGS      ","	??",1.00,"0"
61,"LAK      ","	?",1.00,"0"
62,"LVL      ","	Ls",1.00,"0"
63,"LRD      ","	$",1.00,"0"
64,"LTL      ","	Lt",1.00,"0"
65,"MKD      ","	???",1.00,"0"
66,"MYR      ","	RM",1.00,"0"
67,"MUR      ","	?",1.00,"0"
68,"MXN      ","	$",1.00,"0"
69,"MNT      ","	?",1.00,"0"
70,"MZN      ","	MT",1.00,"0"
71,"NAD      ","	$",1.00,"0"
72,"NPR      ","	?",1.00,"0"
73,"ANG      ","	ƒ",1.00,"0"
74,"NZD      ","	$",1.00,"0"
75,"NIO      ","	C$",1.00,"0"
76,"NGN      ","	?",1.00,"0"
78,"NOK      ","	kr",1.00,"0"
79,"OMR      ","	?",1.00,"0"
80,"PKR      ","	?",1.00,"0"
81,"PAB      ","	B/.",1.00,"0"
82,"PYG      ","	Gs",1.00,"0"
83,"PEN      ","	S/.",1.00,"0"
84,"PHP      ","	?",1.00,"0"
85,"PLN      ","	zl",1.00,"0"
86,"QAR      ","	?",1.00,"0"
87,"RON      ","	lei",1.00,"0"
88,"RUB      ","	???",1.00,"0"
89,"SHP      ","	£",1.00,"0"
90,"SAR      ","	?",1.00,"0"
91,"RSD      ","	???.",1.00,"0"
92,"SCR      ","	?",1.00,"0"
93,"SGD      ","	$",1.00,"0"
94,"SBD      ","	$",1.00,"0"
95,"SOS      ","	S",1.00,"0"
96,"ZAR      ","	R",1.00,"0"
98,"LKR      ","	?",1.00,"0"
99,"SEK      ","	kr",1.00,"0"
100,"CHF      ","	CHF",1.00,"0"
101,"SRD      ","	$",1.00,"0"
102,"SYP      ","	£",1.00,"0"
103,"TWD      ","	NT$",1.00,"0"
104,"THB      ","	?",1.00,"0"
105,"TTD      ","	TT$",1.00,"0"
106,"TRY      ","",1.00,"0"
107,"TRL      ","	£",1.00,"0"
108,"TVD      ","	$",1.00,"0"
109,"UAH      ","	?",1.00,"0"
110,"GBP      ","	£",1.00,"0"
111,"UYU      ","	$U",1.00,"0"
112,"UZS      ","	??",1.00,"0"
113,"VEF      ","	Bs",1.00,"0"
114,"VND      ","	?",1.00,"0"
115,"ZWD      ","	Z$",1.00,"0"
